# ----------------------------------------
# Creatrip GA4
# 자유 양식-자유 형식 3
# 20260322-20260520
# ----------------------------------------

이벤트 이름,AppInstallBannerImpression,총계
page_location,이벤트 수,이벤트 수
,595468,595468,총 합계
http://localhost/en/blog/13313,24,24
http://localhost/en/blog/13756,2,2
http://localhost/en/blog/703,10,10
https://creatrip-com.translate.goog/en/blog/10181?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/10206?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,4,4
https://creatrip-com.translate.goog/en/blog/10432?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc&_x_tr_hist=true,6,6
https://creatrip-com.translate.goog/en/blog/10710?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/10743?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/11036?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/11280?_x_tr_sl=en&_x_tr_tl=hi&_x_tr_hl=hi&_x_tr_pto=sge&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/11521?_x_tr_sl=en&_x_tr_tl=ar&_x_tr_hl=ar&_x_tr_pto=tc&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/11521?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/11521?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,9,9
https://creatrip-com.translate.goog/en/blog/11583?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=sge&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/11930?_x_tr_sl=en&_x_tr_tl=fr&_x_tr_hl=fr&_x_tr_pto=rq&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/11930?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/12640?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/14459?_x_tr_sl=auto&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,1,1
https://creatrip-com.translate.goog/en/blog/14459?_x_tr_sl=en&_x_tr_tl=pl&_x_tr_hl=pl&_x_tr_pto=sge&_x_tr_hist=true,4,4
https://creatrip-com.translate.goog/en/blog/14459?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/14459?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,8,8
https://creatrip-com.translate.goog/en/blog/14547?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/1570/All-about-Gimpo-Airport?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=sge&_x_tr_hist=true,1,1
https://creatrip-com.translate.goog/en/blog/3098?_x_tr_sl=en&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=rq&_x_tr_hist=true,4,4
https://creatrip-com.translate.goog/en/blog/3165?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,23,23
https://creatrip-com.translate.goog/en/blog/3310?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/4570?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/5097?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,9,9
https://creatrip-com.translate.goog/en/blog/5751?_x_tr_sl=en&_x_tr_tl=ar&_x_tr_hl=ar&_x_tr_pto=rq&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/6115?_x_tr_sl=en&_x_tr_tl=th&_x_tr_hl=th&_x_tr_pto=sge&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/703?_x_tr_sl=en&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=rq&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/703?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=sge&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/703?_x_tr_sl=en&_x_tr_tl=fr&_x_tr_hl=fr&_x_tr_pto=rq&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/703?_x_tr_sl=en&_x_tr_tl=ru&_x_tr_hl=ru&_x_tr_pto=sge&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/703?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=sge&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/703?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/703?_x_tr_sl=en&_x_tr_tl=zh&_x_tr_hl=zh&_x_tr_pto=sge&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/7134?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/7496/MBTI-Fad-in-Korea-Celebrity-MBTI-Types?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,2,2
https://creatrip-com.translate.goog/en/blog/7929?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,3,3
https://creatrip-com.translate.goog/en/blog/8616?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc&_x_tr_hist=true,4,4
https://creatrip-com.translate.goog/en/blog/9957?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true,1,1
https://creatrip.com/blog/10000?openExternalBrowser=1,1,1
