# ----------------------------------------
# Creatrip GA4
# 자유 양식-자유 형식 3
# 20260322-20260520
# ----------------------------------------

이벤트 이름,AppInstallBannerClick,총계
page_location,이벤트 수,이벤트 수
,580,580,총 합계
https://creatrip-com.translate.goog/en/blog/11280?_x_tr_sl=en&_x_tr_tl=hi&_x_tr_hl=hi&_x_tr_pto=tc&_x_tr_hist=true,12,12
https://creatrip.com/blog/10000?utm_source=instagram_tw&utm_medium=bio&utm_campaign=traffic_branding&utm_content=All_250521,144,144
https://creatrip.com/blog/10837?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,1,1
https://creatrip.com/blog/11534,2,2
https://creatrip.com/blog/11972,1,1
https://creatrip.com/blog/12390/《二十五，二十一》拍攝地總整理?page=1&travel_city=8,2,2
https://creatrip.com/blog/12540,1,1
https://creatrip.com/blog/12668,1,1
https://creatrip.com/blog/13241,1,1
https://creatrip.com/blog/13287,1,1
https://creatrip.com/blog/13326,1,1
https://creatrip.com/blog/13680,1,1
https://creatrip.com/blog/13756,2,2
https://creatrip.com/blog/13855,1,1
https://creatrip.com/blog/14302,1,1
https://creatrip.com/blog/14341,2,2
https://creatrip.com/blog/14439,1,1
https://creatrip.com/blog/14444,1,1
https://creatrip.com/blog/14470,1,1
https://creatrip.com/blog/14520,1,1
https://creatrip.com/blog/14605,1,1
https://creatrip.com/blog/14697?utm_source=instagram_tw&utm_medium=post&utm_campaign=traffic_beauty&utm_content=Whitening_251110&fbclid=PAVERFWAREpm9leHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacL95hf8QzY2Pq7CFoIwrlRWE1dDcyVlRzGOaI6MQx2WEqQQkEBmVsuSZbMYw_aem_5zSPm55bbmVZmlCJ60ZNlg,1,1
https://creatrip.com/blog/14705,1,1
https://creatrip.com/blog/14716?utm_source=instagram_tw&utm_medium=manychat&utm_campaign=traffic_beauty&utm_content=sesin_250613,1,1
https://creatrip.com/blog/14909?utm_source=chatgpt.com,1,1
https://creatrip.com/blog/1491,3,3
https://creatrip.com/blog/14915?utm_source=instagram_tw_beauty&utm_medium=comment&utm_campaign=traffic_beauty&utm_content=10000_260403,5,5
https://creatrip.com/blog/14949,1,1
https://creatrip.com/blog/14949?fbclid=PARlRTSAQ3OJxleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadqQP9y6QBAq-LpLJZaJshn9B25BFl9v0gDzQpjUmtmZ9R1o9j9TcGV__Rhaw_aem_-1rJ6kdQX6Avm_sjchpKJA,1,1
https://creatrip.com/blog/14949?utm_source=thread_tw&utm_medium=post&utm_campaign=traffic_beauty&utm_content=busanbeauty_260114,4,4
https://creatrip.com/blog/1525?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,1,1
https://creatrip.com/blog/158,1,1
https://creatrip.com/blog/2041,1,1
https://creatrip.com/blog/2527,1,1
https://creatrip.com/blog/2559,1,1
https://creatrip.com/blog/4457,1,1
https://creatrip.com/blog/4480/AD,1,1
https://creatrip.com/blog/4511,1,1
https://creatrip.com/blog/4647,1,1
https://creatrip.com/blog/4694,2,2
https://creatrip.com/blog/4840/馬場洞韓牛｜馬場谷,1,1
https://creatrip.com/blog/5075,2,2
https://creatrip.com/blog/5362,1,1
https://creatrip.com/blog/5379,1,1
https://creatrip.com/blog/5486,1,1
https://creatrip.com/blog/5797,1,1
https://creatrip.com/blog/7938,2,2
https://creatrip.com/blog/8890,1,1
https://creatrip.com/blog/975,1,1
https://creatrip.com/de/blog/4728,3,3
https://creatrip.com/de/blog/5084,3,3
https://creatrip.com/en/blog/10286,1,1
https://creatrip.com/en/blog/11280,4,4
https://creatrip.com/en/blog/11725,1,1
https://creatrip.com/en/blog/12638,3,3
https://creatrip.com/en/blog/12821,1,1
https://creatrip.com/en/blog/12861,2,2
https://creatrip.com/en/blog/13595,1,1
https://creatrip.com/en/blog/14386,1,1
https://creatrip.com/en/blog/14547,2,2
https://creatrip.com/en/blog/14645,1,1
https://creatrip.com/en/blog/14686,1,1
https://creatrip.com/en/blog/14705?utm_source=chatgpt.com,1,1
https://creatrip.com/en/blog/14763?gad_campaignid=22419715675&wbraid=Cj4KCAjwwdbPBhAxEi4Aequ6iyHW8Je1uO9gEkzbTamRYkixCA7qaaMNMeLtRrqz9A32nNu6-YFaL6WLGgIdRQ,2,2
https://creatrip.com/en/blog/14776/明洞プライベートあかすりサロンㅣ ONA (温雅)?utm_source=openai,1,1
https://creatrip.com/en/blog/14792,1,1
https://creatrip.com/en/blog/14879?utm_source=chatgpt.com,1,1
https://creatrip.com/en/blog/14881?utm_source=facebook_global&utm_medium=post&utm_campaign=traffic_beauty&utm_content=BlogFactoryClinics_260226,1,1
https://creatrip.com/en/blog/14884,1,1
https://creatrip.com/en/blog/1740?utm_source=chatgpt.com,1,1
https://creatrip.com/en/blog/4290,1,1
https://creatrip.com/en/blog/4428,2,2
https://creatrip.com/en/blog/4444,1,1
https://creatrip.com/en/blog/5549/Check-T-money-Balance-On-Phone,3,3
https://creatrip.com/en/blog/5549/Check-T-money-Balance-On-Phone?hl=en-GB,1,1
https://creatrip.com/en/blog/6307,1,1
https://creatrip.com/en/blog/6481,1,1
https://creatrip.com/en/blog/6668,4,4
https://creatrip.com/en/blog/6733/Top-5-Shopping-Apps-in-Korea,1,1
