# ----------------------------------------
# Creatrip GA4
# 자유 양식-자유 형식 3
# 20260322-20260520
# ----------------------------------------

이벤트 이름,AppInstallBannerImpression,AppInstallBannerClick,총계
페이지 경로 + 쿼리 문자열,이벤트 수,이벤트 수,이벤트 수
,925619,2713,928332,총 합계
/app/blog/11590?appStore=true,4,0,4
/blog/10000,1298,173,1471
/blog/10000?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeQs2XtWgXrG5x8c6ZlkWkTwXACw9XkmZeZ0BvwQqgn2FuZ7Cwz5rvoWzJ02k_aem_bg0tbhHFj4HDp5iyhQ88AA,4,0,4
/blog/10000?fbclid=PARlRTSARjsZRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafKxDGBh7QnNVU7tsFOaO0kwQw-XEyR85wCMXLC2gPE-ai4XrQ_6RLjq-P4aQ_aem_gZ-E0Z7Kargw1hhYMOfqeg,4,0,4
/blog/10000?fbclid=PAVERFWAQ1b_xleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadE3x4WdFaV6nlQq-Q-pQUHd9t1qNuexwYjWI15J0Jr2TXl1H_LGx2HI9uMww_aem_mpkStkH9qxvcpTLoNYFTvA,4,0,4
/blog/10000?fbclid=PAVERFWAR3bItleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacLUCPqSpRIXJGqP9Fkr6ym90wfWky5IRaWjW9SsepG0IBu2EZ3Vvf1QrPsEg_aem_vY7t5P0jDI2NSdwxX-IOGg,7,4,11
/blog/10000?fbclid=PAVERFWARG-PJleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAad9sxumN7nzt2m7vtFn8zJa7NnrB7DgFxxtOwJ_PvwCcE4f9VSZz_dFlO_8yg_aem_DPjtiZMELIXWtRPlzjc8Hg,4,0,4
/blog/10000?fbclid=PAVERFWARJbbRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaf3nXcFQ97tA3H-EH6XrXUzislLY3zIoHNV2dKvN45xV_BJgo057Eo7TaknRQ_aem_Qb4xaLzZYybs9nbjS4Ns_A,4,0,4
/blog/10000?fbclid=PAVERFWARUHWRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacwUNxmdDiTnhAeVRz1Oz8XBKTEFNzW201epBht4sxruqGQCfWd9-cjtiJqLw_aem_qD4-fDxfC2_wjGjIQb4J6w,4,0,4
/blog/10000?fbclid=PAVERFWARW9FhleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadtkGPzx10dN0Rd1VxnZpDfLvtjOyAwRD8sxhZG_QYIGxTXDMbWmlxA-qgwag_aem_gSPgkkRk5kTLjVfN_G-NFA,4,0,4
/blog/10000?fbclid=PAVERFWARWSkdleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacjXCaeD_3GiczL10PZIsVu6hrV0b8mu2e_sNUu2mxmgLMsRCRj6_ir2wxdmQ_aem_0d-PHCm2PXuUZEWF3suIng,4,0,4
/blog/10000?fbclid=PAVERFWARfqfNleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadnUuZ0ex7EgKvFuSBbbloCtq6peG1y7TNVTi4Jmg-AhSj-6Q9hPOYrPnNesg_aem_yfgLUsChdO6i-Eud83L93w,4,0,4
/blog/10000?fbclid=PAVERFWARitBhleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaddF0PH2BYP0EMl_XUudtJmvpdCBuditgTDvuiJJEF6xlD0M9nHVpE9coqGyg_aem_BZiAPDNAaGdveG1SbbwLSw,4,0,4
/blog/10000?fbclid=PAVERFWARoC89leHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafcvWH20b_W6ED3rDttebk2FmGEpdLe37ugmZxe2zxBXReMMW08C80avsbHbQ_aem_uuIpDxO1wZ9rsyvMzn_cIw,4,0,4
/blog/10000?fbclid=PAVERFWARr9PBleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaf-p5Mo4sRkKM01NC4fa4bwyUH3sKMMkdiGKGPx7nnCRExyzwm66kzPYKFpag_aem_VyNJQkAQGXUfQG9tnc6f2Q,4,0,4
/blog/10000?fbclid=PAVERFWARzxpxleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacqQArqMkznRlKmSUth7xyNgLNxaMA08aMwCUW1hXlx2tPzeb6BDVv-wUnV2A_aem_ckWS92cl6sQtcP6Le0i1lQ,4,0,4
/blog/10000?openExternalBrowser=1,4,0,4
/blog/10031,4,0,4
/blog/10084,4,0,4
/blog/10100,4,0,4
/blog/10116,11,0,11
/blog/10121,11,0,11
/blog/10131,4,0,4
/blog/10144,7,0,7
/blog/10151,4,0,4
/blog/1018,7,0,7
/blog/10207?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeds4BKXvqij0aIaPYAspI4Io_9VX-FnlLwk0rbOD93noyz3TduuVtBXcqPvA_aem_bcPcK0_U5cDA8TDderNmrA,4,0,4
/blog/10207?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeo6fPRzj1Oq91ewVA5udF17sPixImhxGZ7xFghfUXPZ-LqifZLrSMn8usetw_aem_H5xYgERsfklNJEEcbaaoJw,4,0,4
/blog/10286,7,0,7
/blog/10301,4,0,4
/blog/10339,4,0,4
/blog/10356,7,0,7
