스팟코드,스팟명,요구정보코드,연결경로
12748,"원진글로벌허브 | 성형외과 원장이 직접 시술하는 피부과",796,reserve
13204,"식당 예약 대행 서비스",796,reserve
13287,"진미식당 예약 대행 서비스",796,reserve
13315,"퍼스널컬러 컬러오브유",796,reserve
13359,"온6.5 (한식다이닝)",796,reserve
13378,"삼원가든 예약 대행 서비스",796,reserve
13379,"삼육가 본점 예약 대행 서비스",796,reserve
13387,"담쁨퍼스널컬러 성수점",796,reserve
13489,"퍼스널컬러 마이컬러랩",796,reserve
13558,"퍼스널컬러 한국패션심리연구원 청담본원",796,reserve
13559,"비비드강 퍼스널컬러",796,reserve
13570,"퍼스널컬러 컬러가산다 홍대동교센터",796,reserve
13575,"퍼스널컬러 CCL컬러이미지융합연구소",796,reserve
13581,"COCORY Color 연희본점 | 퍼스널컬러 분석& 체형& 메이크업& 패션 분석",796,reserve
13597,"이미지호 홍대점",796,reserve
13598,"토속촌 삼계탕 예약 대행 서비스",796,reserve
13645,"더봄(The Bom) 퍼스널컬러",796,reserve
13648,"K-Beauty 예약 대행 서비스",796,reserve
13714,"세상의모든아침 롯데월드몰점 (평일, 외국인 독점예약)",796,reserve
13767,"모클락 강남본점 | 셀럽이 찾는 프리미엄 헤드스파",796,reserve
13772,"더데이즈헤어 | 외국인 맞춤 맨즈헤어&디자인 컬러 헤어샵",796,reserve
13801,"콘피에르",796,reserve
13806,"[크리에이트립 단독] 시현하다 성수 플래그십점",796,reserve
13807,"[크리에이트립 단독] 시현하다 강남점",796,reserve
13812,"교촌필방 예약 대행 서비스",796,reserve
13819,"화해당 여의도점 예약 대행 서비스",796,reserve
13823,"[어학당] 한국어 튜터링 서비스 - Teacher Anne",796,reserve
13826,"[어학당] 한국어 튜터링 서비스 - 튜터 정지혜",796,reserve
13828,"[어학당] 한국어 튜터링 서비스(시범수업) - 튜터 정지혜",796,reserve
13835,"[어학당] 한국어 튜터링 서비스(시범수업) - Teacher Anne",796,reserve
13841,"[어학당] 한국어 튜터링 서비스 - 튜터 박성규",796,reserve
13854,"티켓&액티비티 예약 대행 서비스",796,reserve
13885,"오콜로르 여의도점",796,reserve
13888,"오콜로르 신사점",796,reserve
13918,"[크리에이트립 단독] 시현하다 홍대 스페이스",796,reserve
13982,"컬러룸(color lume)",796,reserve
14164,"컬러시그널",796,reserve
