# ----------------------------------------,,,,,
# Creatrip GA4,,,,,
# 자유 양식-자유 형식 6,,,,,
# 20260203-20260304,,,,,
# ----------------------------------------,,,,,
,,,,,
,,,,,
,날짜,활성 사용자,활성 사용자,활성 사용자,
,세그먼트,모바일 앱 사용자,모바일 웹 사용자,데스크탑 웹 사용자,
,20260203,57,35,22,
,20260204,73,41,29,
,20260205,81,47,27,
,20260206,66,36,19,
,20260207,57,29,14,
,20260208,81,60,19,
,20260209,67,43,20,
,20260210,74,44,23,
,20260211,80,58,28,
,20260212,71,38,22,
,20260213,71,47,14,
,20260214,62,47,16,
,20260215,62,44,14,
,20260216,62,31,5,
,20260217,56,35,10,
,20260218,59,51,23,
,20260219,54,38,15,
,20260220,80,55,19,
,20260221,84,44,13,
,20260222,100,47,17,
,20260223,99,49,22,
,20260224,92,51,21,
,20260225,88,50,20,
,20260226,86,47,17,
,20260227,80,47,16,
,20260228,93,49,19,
,20260301,128,66,27,
,20260302,87,54,17,
,20260303,84,50,28,
,20260304,76,54,21,
,,1779,1055,417,총 합계
