날짜,총 방문자 수,여행 방문자 수,결제 유저 수,총 예약 수,총 거래액
2026-02-02,"27,393","6,046",79,86,"9,216,565"
2026-02-03,"24,131","4,840",54,58,"7,082,935"
2026-02-04,"30,188","7,254",79,85,"19,376,965"
2026-02-05,"31,008","8,212",59,60,"11,191,219"
2026-02-06,"30,931","7,736",52,57,"11,832,805"
2026-02-07,"28,310","6,950",66,69,"17,024,460"
2026-02-08,"25,521","5,084",53,59,"5,305,815"
2026-02-09,"28,630","5,130",74,82,"11,713,639"
2026-02-10,"26,366","5,316",65,73,"8,001,898"
2026-02-11,"27,741","6,771",69,71,"8,892,872"
2026-02-12,"23,986","4,522",66,67,"10,597,560"
2026-02-13,"21,579","4,114",66,71,"7,410,216"
2026-02-14,"20,291","3,587",60,63,"5,678,369"
2026-02-15,"23,608","5,560",82,86,"8,047,872"
2026-02-16,"23,474","4,948",72,75,"13,056,745"
2026-02-17,"22,523","4,205",70,83,"8,028,915"
2026-02-18,"26,957","7,101",66,71,"22,583,050"
2026-02-19,"25,147","5,283",77,86,"7,053,699"
2026-02-20,"26,055","5,418",80,91,"14,544,150"
2026-02-21,"27,325","5,632",75,78,"8,937,050"
2026-02-22,"28,327","5,586",102,115,"13,607,650"
2026-02-23,"29,906","6,253",96,106,"12,395,285"
2026-02-24,"27,190","5,433",88,100,"13,026,844"
2026-02-25,"27,932","6,281",98,106,"12,329,470"
2026-02-26,"27,124","5,897",98,105,"9,626,217"
2026-02-27,"27,110","6,408",106,116,"9,383,403"
2026-02-28,"29,227","6,818",93,108,16969874
2026-03-01,"27,206","6,129",102,107,"12,835,230"
2026-03-02,"26,956","5,940",114,127,"11,283,852"
2026-03-03,"31,415","10,686",100,107,"12,800,962"
