스팟,상품,상품코드,옵션,옵션코드
"퍼스널컬러 컬러오브유","퍼스널컬러 (영어/중국어/일본어)","48637","",""
"퍼스널컬러 컬러오브유","퍼스널스타일 (영어/중국어/일본어)","48641","",""
"퍼스널컬러 컬러오브유","퍼스널 컬러&스타일링 (영어/중국어/일본어)","48644","",""
"퍼스널컬러 컬러오브유","","32712","1:1 (60분)","32715"
"퍼스널컬러 컬러오브유","","32712","1:2 (80분)","32716"
"퍼스널컬러 컬러오브유","","32712","1:3 (100분)","32717"
"퍼스널컬러 컬러오브유","","32713","1:1 (60분)","32718"
"퍼스널컬러 컬러오브유","","32713","1:2 (90분)","32719"
"퍼스널컬러 컬러오브유","","32714","1:1 (90분)","32720"
"퍼스널컬러 컬러오브유","","32714","1:2 (120분)","32721"
"퍼스널컬러 컬러오브유","","32722","1:1 (60분)","32725"
"퍼스널컬러 컬러오브유","","32722","1:2 (80분)","32726"
"퍼스널컬러 컬러오브유","","32722","1:3 (100분)","32727"
"퍼스널컬러 컬러오브유","","32723","1:1 (60분)","32728"
"퍼스널컬러 컬러오브유","","32723","1:2 (90분)","32729"
"퍼스널컬러 컬러오브유","","32724","1:1 (90분)","32730"
"퍼스널컬러 컬러오브유","","32724","1:2 (120분)","32731"
"퍼스널컬러 컬러오브유","","32732","1:1 (60분)","32735"
"퍼스널컬러 컬러오브유","","32732","1:2 (80분)","32736"
"퍼스널컬러 컬러오브유","","32732","1:3 (100분)","32737"
"퍼스널컬러 컬러오브유","","32733","1:1 (60분)","32738"
"퍼스널컬러 컬러오브유","","32733","1:2 (90분)","32739"
"퍼스널컬러 컬러오브유","","32734","1:1 (90분)","32740"
"퍼스널컬러 컬러오브유","","32734","1:2 (120분)","32741"
"퍼스널컬러 컬러오브유","퍼스널컬러 (영어/중국어/일본어)","48637","1:1 (50분)","48638"
"퍼스널컬러 컬러오브유","퍼스널컬러 (영어/중국어/일본어)","48637","1:2 (80분)","48639"
"퍼스널컬러 컬러오브유","퍼스널컬러 (영어/중국어/일본어)","48637","1:3 (100분)","48640"
"퍼스널컬러 컬러오브유","퍼스널스타일 (영어/중국어/일본어)","48641","1:1 (60분)","48642"
"퍼스널컬러 컬러오브유","퍼스널스타일 (영어/중국어/일본어)","48641","1:2 (90분)","48643"
"퍼스널컬러 컬러오브유","퍼스널 컬러&스타일링 (영어/중국어/일본어)","48644","1:1 (90분)","48645"
"퍼스널컬러 컬러오브유","퍼스널 컬러&스타일링 (영어/중국어/일본어)","48644","1:2 (120분)","48646"
"담쁨퍼스널컬러 성수점","컬러&스타일링 (프리미엄)","31672","",""
"담쁨퍼스널컬러 성수점","컬러&스타일링 (프리미엄)","31672","컬러&스타일링 - 영어 통역","31701"
"담쁨퍼스널컬러 성수점","컬러&스타일링 (프리미엄)","31672","컬러&스타일링 - 중국어 통역","31707"
"담쁨퍼스널컬러 성수점","컬러&스타일링 (프리미엄)","31672","컬러&스타일링 - 일본어 통역","32765"
"담쁨퍼스널컬러 성수점","컬러&스타일링 - 영어 통역","31701","1:1 컬러&스타일링 - 영어 통역 (45분)","31702"
"담쁨퍼스널컬러 성수점","컬러&스타일링 - 영어 통역","31701","1:2 컬러&스타일링 - 영어 통역 (90분)","31703"
"담쁨퍼스널컬러 성수점","컬러&스타일링 - 영어 통역","31701","1:3 컬러&스타일링 - 영어 통역 (105분)","31704"
"담쁨퍼스널컬러 성수점","컬러&스타일링 - 중국어 통역","31707","1:1 컬러&스타일링 - 중국어 통역 (45분)","31708"
"담쁨퍼스널컬러 성수점","컬러&스타일링 - 중국어 통역","31707","1:2 컬러&스타일링 - 중국어 통역 (90분)","31710"
"담쁨퍼스널컬러 성수점","컬러&스타일링 - 중국어 통역","31707","1:3 컬러&스타일링 - 중국어 통역 (105분)","31712"
"담쁨퍼스널컬러 성수점","컬러&스타일링 - 일본어 통역","32765","1:1 컬러&스타일링 - 일본어 통역 (45분)","32766"
"담쁨퍼스널컬러 성수점","컬러&스타일링 - 일본어 통역","32765","1:2 컬러&스타일링 - 일본어 통역 (90분)","32767"
"담쁨퍼스널컬러 성수점","컬러&스타일링 - 일본어 통역","32765","1:3 컬러&스타일링 - 일본어 통역 (105분)","32768"
"퍼스널컬러 마이컬러랩","BASIC","32600","",""
"퍼스널컬러 마이컬러랩","ADVANCED","32601","",""
"퍼스널컬러 마이컬러랩","BASIC","32600","1:1 (60분)","32602"
"퍼스널컬러 마이컬러랩","BASIC","32600","1:2 (90분)","32603"
"퍼스널컬러 마이컬러랩","BASIC","32600","1:3 (120분)","32604"
"퍼스널컬러 마이컬러랩","ADVANCED","32601","1:1 (90분)","32605"
"퍼스널컬러 마이컬러랩","ADVANCED","32601","1:2 (120분)","32606"
"퍼스널컬러 마이컬러랩","ADVANCED","32601","1:3 (140분)","32607"
"퍼스널컬러 CCL컬러이미지융합연구소","컬러+메이크업 클래스 (영어통역/중국어통역/일본어통역)","33359","",""
