ID,한글 이름,현재 CITY,현재 DL,변경될 CITY,변경될 DL
1,Pier 52,(없음),(없음),강원특별자치도,속초시
2,설악산+낙산사 일일투어 (서울출발),양양군,(없음),강원특별자치도,인제군
4,단천면옥,(없음),(없음),강원특별자치도,속초시
5,동명항,(없음),(없음),강원특별자치도,속초시
6,명가수제튀김,(없음),(없음),강원특별자치도,속초시
7,문꼬치,(없음),(없음),강원특별자치도,속초시
9,남이섬+설악산 일일투어 (서울출발),춘천시,(없음),강원특별자치도,춘천시
11,속초관광수산시장지하회센터,(없음),(없음),강원특별자치도,속초시
12,속초먹거리촌,(없음),(없음),강원특별자치도,속초시
13,속초어부전복뚝배기,(없음),(없음),강원특별자치도,속초시
15,속초 중앙시장,(없음),(없음),강원특별자치도,속초시
17,송천리떡마을,(없음),(없음),강원특별자치도,양양군
18,순희네마차,(없음),(없음),강원특별자치도,속초시
19,아바이마을,(없음),(없음),강원특별자치도,속초시
20,양양시외종합터미널,(없음),(없음),강원특별자치도,양양군
22,연이수제버거,(없음),(없음),강원특별자치도,양양군
26,일호식당,(없음),(없음),강원특별자치도,속초시
28,중앙닭강정,(없음),(없음),강원특별자치도,속초시
29,초당뼈찜,(없음),(없음),강원특별자치도,속초시
30,카페소리,(없음),(없음),강원특별자치도,속초시
31,커피휘림,(없음),(없음),강원특별자치도,속초시
32,커피말리,(없음),(없음),강원특별자치도,속초시
33,화반,(없음),(없음),강원특별자치도,속초시
34,강릉 감자 옹심이,강릉시,(없음),강원특별자치도,강릉시
37,강릉고속버스터미널 AND 시외버스터미널,강릉시,(없음),강원특별자치도,강릉시
38,강릉향교,강릉시,(없음),강원특별자치도,강릉시
43,곰칼국수,(없음),(없음),강원특별자치도,동해시
44,곱창집,강릉시,(없음),강원특별자치도,강릉시
45,광덕식당,강릉시,(없음),강원특별자치도,강릉시
47,구구닭집,강릉시,(없음),강원특별자치도,강릉시
49,근정가든,(없음),(없음),강원특별자치도,동해시
50,금성닭집,강릉시,(없음),강원특별자치도,강릉시
51,금학칼국수,강릉시,(없음),강원특별자치도,강릉시
52,논골담길,(없음),(없음),강원특별자치도,동해시
53,놀랄호떡만두,강릉시,(없음),강원특별자치도,강릉시
54,달선이네 조개마당,강릉시,(없음),강원특별자치도,강릉시
55,대관령 양떼목장,(없음),(없음),강원특별자치도,평창군
56,동해고속버스터미널 AND 시외버스터미널,(없음),(없음),강원특별자치도,동해시
57,동해역,(없음),(없음),강원특별자치도,동해시
58,동화가든,강릉시,경포대,강원특별자치도,강릉시
59,두꺼비집,(없음),(없음),강원특별자치도,동해시
60,만나옹심이 메밀손칼국수,강릉시,(없음),강원특별자치도,강릉시
61,명가네 게스트하우스,강릉시,경포대,강원특별자치도,강릉시
62,명주사랑채,강릉시,(없음),강원특별자치도,강릉시
63,모락모락,강릉시,(없음),강원특별자치도,강릉시
66,싸전,강릉시,(없음),강원특별자치도,강릉시
68,봉봉 방앗간,강릉시,(없음),강원특별자치도,강릉시
69,부산어묵,강릉시,(없음),강원특별자치도,삼척시
70,북카페 모모,강릉시,(없음),강원특별자치도,강릉시
72,북평장 하나로마트 앞 핫바집,(없음),(없음),강원특별자치도,동해시
73,카페 산토리니,강릉시,(없음),강원특별자치도,동해시
76,손병욱 베이커리,강릉시,(없음),강원특별자치도,강릉시
78,솔향횟집,강릉시,(없음),강원특별자치도,강릉시
80,썬카페,강릉시,정동진,강원특별자치도,강릉시
81,썬한식,강릉시,정동진,강원특별자치도,강릉시
82,아라나비,강릉시,(없음),강원특별자치도,강릉시
83,안목해변카페거리,강릉시,(없음),강원특별자치도,강릉시
84,영미네 부침,강릉시,(없음),강원특별자치도,강릉시
85,옛 태광식당,강릉시,경포대,강원특별자치도,강릉시
86,옛정 보리밥 뷔페,(없음),(없음),강원특별자치도,동해시
88,욱이네닭강정,(없음),(없음),강원특별자치도,동해시
89,장군 시오야끼,(없음),(없음),강원특별자치도,동해시
90,정동진 레일바이크,강릉시,정동진,강원특별자치도,강릉시
91,정동진역,강릉시,(없음),강원특별자치도,강릉시
93,주문진 수산시장,강릉시,주문진,강원특별자치도,강릉시
94,강릉 중앙시장,강릉시,(없음),강원특별자치도,강릉시
95,진성떡집,(없음),(없음),강원특별자치도,동해시
96,참맛골,(없음),(없음),강원특별자치도,동해시
97,참소리축음기 에디슨과학박물관,강릉시,경포대,강원특별자치도,강릉시
98,창일민박횟집,강릉시,주문진,강원특별자치도,강릉시
100,초당순두부 마을,강릉시,(없음),강원특별자치도,강릉시
101,초려공방,강릉시,(없음),강원특별자치도,강릉시
102,추암해오름펜션,(없음),(없음),강원특별자치도,동해시
103,추암타워펜션,(없음),(없음),강원특별자치도,동해시
107,엘빈(L.Bean),강릉시,(없음),강원특별자치도,강릉시
108,카페 칠공공(700),강릉시,(없음),강원특별자치도,강릉시
109,폴앤메리,강릉시,경포대,강원특별자치도,강릉시
110,테라로사 본점,강릉시,(없음),강원특별자치도,강릉시
111,토담순두부,강릉시,경포대,강원특별자치도,강릉시
112,하슬라 아트월드,강릉시,(없음),강원특별자치도,강릉시
114,황금어장,(없음),(없음),강원특별자치도,동해시
115,횡계시외버스터미널,(없음),(없음),강원특별자치도,평창군
117,순천역,순천시,(없음),전라남도,순천시
120,장대콩국수,순천시,(없음),전라남도,순천시
122,명월관,순천시,(없음),전라남도,순천시
123,미향식당,순천시,(없음),전라남도,순천시
125,야생차 체험관,순천시,(없음),전라남도,순천시
127,아랫장,순천시,(없음),전라남도,순천시
128,61호 명태전집,순천시,(없음),전라남도,순천시
129,시장통짜장,순천시,(없음),전라남도,순천시
130,건봉국밥,순천시,(없음),전라남도,순천시
131,광주종합버스터미널,(없음),(없음),광주광역시,서구
132,담양 버스터미널,(없음),(없음),전라남도,담양군
133,보성 시외버스 터미널,(없음),(없음),전라남도,보성군
134,보성역,(없음),(없음),전라남도,보성군
136,순천 버스터미널,순천시,(없음),전라남도,순천시
155,웃장,순천시,(없음),전라남도,순천시
158,시가문학촌,(없음),(없음),전라남도,담양군
162,담양 Slow City Town (A),(없음),(없음),전라남도,담양군
165,돌담 민박,(없음),(없음),전라남도,담양군
168,한옥애,(없음),(없음),전라남도,담양군
169,달구지 민박,(없음),(없음),전라남도,담양군
172,경자네식당,순천시,(없음),전라남도,순천시
174,금빈회관,순천시,(없음),전라남도,순천시
175,길상식당,순천시,(없음),전라남도,순천시
176,김가네 흑돼지 참누렁소,(없음),(없음),전라남도,담양군
177,김순옥 댓잎 찹쌀 도너츠,(없음),(없음),전라남도,담양군
178,대담미술관(카페),(없음),(없음),전라남도,담양군
179,대대선창,순천시,(없음),전라남도,순천시
181,미소댓잎국수,(없음),(없음),전라남도,담양군
182,베니샤프,순천시,(없음),전라남도,순천시
183,보성녹차떡갈비,(없음),(없음),전라남도,보성군
184,봇재가든,(없음),(없음),전라남도,보성군
185,봉산식당,(없음),(없음),전라남도,보성군
186,부부 찹쌀도넛,(없음),(없음),전라남도,담양군
187,서원카페,(없음),(없음),전라남도,담양군
188,성일식당,순천시,(없음),전라남도,순천시
189,소담다례문화원,(없음),(없음),전라남도,담양군
190,순천만 라비스타&도원경,순천시,(없음),전라남도,순천시
191,슬로시티약초밥상,(없음),(없음),전라남도,담양군
192,승일식당,(없음),(없음),전라남도,담양군
195,양지쌈밥,순천시,(없음),전라남도,순천시
196,옛날대통순대집,(없음),(없음),전라남도,담양군
197,옥빈관,(없음),(없음),전라남도,담양군
198,원조동경낙지,순천시,(없음),전라남도,순천시
200,제일식당,순천시,(없음),전라남도,순천시
201,보리원(조계산 보리밥집),순천시,(없음),전라남도,순천시
202,카페 꽁띠(conti),순천시,(없음),전라남도,순천시
203,프로방스 베이커리,(없음),(없음),전라남도,담양군
204,몽돌해물탕,순천시,(없음),전라남도,순천시
205,행운다방,(없음),(없음),전라남도,보성군
206,화월당,순천시,(없음),전라남도,순천시
207,황토방국밥,(없음),(없음),전라남도,담양군
208,흥덕식당,순천시,(없음),전라남도,순천시
209,초록잎이 펼치는 세상,(없음),(없음),전라남도,보성군
210,나주곰탕,서울시,충무로,서울특별시,중구
211,동방명주,서울시,충무로,서울특별시,중구
212,모랑해물솥밥 삼공빌딩점,서울시,충무로,서울특별시,종로구
213,미소핫도그,서울시,충무로,서울특별시,중구
214,반반국수,서울시,충무로,서울특별시,중구
215,브라운 치킨호프,서울시,충무로,서울특별시,중구
216,사랑방 칼국수,서울시,충무로,서울특별시,중구
218,카페 우디,서울시,(없음),서울특별시,중구
219,을지수제비,서울시,충무로,서울특별시,중구
220,털보네스테이크,서울시,충무로,서울특별시,중구
221,푸하오,서울시,충무로,서울특별시,중구
223,치아바타몽스,서울시,충무로,서울특별시,중구
224,충무로 송죽,서울시,충무로,서울특별시,중구
225,낭만짬뽕,서울시,충무로,서울특별시,중구
226,라구,서울시,이태원,서울특별시,용산구
227,토스트 몬스터,서울시,이태원,서울특별시,용산구
228,(폐업) 해크니,서울시,이태원,서울특별시,용산구
229,토스트 프랑세,서울시,이태원,서울특별시,용산구
230,8 Piece,서울시,이태원,서울특별시,용산구
231,히메야 이자카야,서울시,이태원,서울특별시,용산구
232,치읓 (ㅊ),서울시,이태원,서울특별시,용산구
233,자코비버거,서울시,이태원,서울특별시,용산구
234,미주리,서울시,이태원,서울특별시,용산구
236,(폐업) 엄마와고등어,서울시,충무로,서울특별시,중구
237,서문돌판생삼겹살,서울시,충무로,서울특별시,중구
238,김명자 굴국밥,서울시,을지로,서울특별시,중구
239,멜팅몽키,서울시,이태원,서울특별시,용산구
241,Gate21,서울시,이태원,도출불가,도출불가
242,속초 이정숙왕손만두 찐빵,(없음),(없음),강원특별자치도,속초시
243,원조장터순대국,(없음),(없음),강원특별자치도,속초시
244,어느멋진날,(없음),(없음),강원특별자치도,속초시
246,브라더후드,(없음),(없음),강원특별자치도,속초시
251,전주역,전주시,(없음),전라북도,전주시 덕진구
260,지숨갤러리,전주시,(없음),전라북도,전주시 완산구
263,순시키 차액결제,전주시,(없음),전라북도,전주시 완산구
267,교동아트미술관,전주시,(없음),전라북도,전주시 완산구
268,청춘시장,전주시,(없음),전라북도,전주시 완산구
270,소리문화관,전주시,(없음),전라북도,전주시 완산구
272,전주향교,전주시,(없음),전라북도,전주시 완산구
275,삼원한약방,전주시,(없음),전라북도,전주시 완산구
287,스파이더맨 게스트하우스,전주시,(없음),전라북도,전주시 완산구
290,남부시장,전주시,(없음),전라북도,전주시 완산구
291,핫플레이스 거리,전주시,(없음),전라북도,전주시 완산구
294,금암면옥 (객사길),전주시,(없음),전라북도,전주시 완산구
298,왱이 콩나물 국밥집,전주시,(없음),전라북도,전주시 완산구
299,교동고로케,전주시,(없음),전라북도,전주시 완산구
301,길거리야,전주시,(없음),전라북도,전주시 완산구
302,다우랑,전주시,(없음),전라북도,전주시 완산구
303,베테랑 칼국수,전주시,(없음),전라북도,전주시 완산구
305,상덕카레,전주시,(없음),전라북도,전주시 완산구
306,한옥문꼬지,전주시,(없음),전라북도,전주시 완산구
307,전동호떡,전주시,(없음),전라북도,전주시 완산구
