"spot_code","korean_name","publish_status","business_status","reservation_status","current_city","current_dl","legal_code","correct_city","correct_dl","correct_sigungu_code","poly_match_cnt","coord_status"
"241","Gate21","공개","영업중","예약불가","서울시","이태원","","","","","0","0,0잡값"
"1290","SOMETHING OUT","공개","영업중","예약불가","서울시","연남동","","","","","0","0,0잡값"
"1826","한국천주교순교자박물관","공개","영업중","예약불가","서울시","마포구","","","","","0","0,0잡값"
"3402","신선한초밥","공개","영업중","예약불가","서울시","충무로","","","","","0","0,0잡값"
"3412","이태리(Italy) 식당","공개","영업중","예약불가","서울시","충무로","","","","","0","0,0잡값"
"3424","(폐업) 소야정","비공개","영업종료","예약불가","서울시","충무로","","","","","0","0,0잡값"
"3448","대한극장","공개","영업중","예약불가","서울시","충무로","","","","","0","0,0잡값"
"3595","카페 디55 (D-55)","공개","영업중","예약불가","서울시","경복궁","","","","","0","0,0잡값"
"4049","툭툭누들타이","공개","영업중","예약불가","서울시","연남동","","","","","0","0,0잡값"
"4688","카페이누","공개","영업중","예약불가","서울시","이태원","","","","","0","0,0잡값"
"4711","테라스테이블","비공개","영업중","예약불가","서울시","이태원","","","","","0","0,0잡값"
"4764","라망두스 (La Main Douce)","공개","영업중","예약불가","서울시","홍대","","","","","0","0,0잡값"
"4772","몰리스팝스 (Molly's pops)","비공개","영업중","예약불가","서울시","홍대","","","","","0","0,0잡값"
"4794","커피프린스 1호점","비공개","영업중","예약불가","서울시","홍대","","","","","0","0,0잡값"
"6210","멘도롱식당","공개","영업중","예약불가","","","","","","","0","0,0잡값"
"8732","술화덕빵","비공개","영업중","예약불가","","","","","","","0","0,0잡값"
"11937","광장시장 성우육회","공개","영업중","예약가능","서울시","종로구","","","","","0","0,0잡값"
"13899","세니아클리닉","공개","영업종료","예약불가","서울시","강남구","","","","","0","0,0잡값"
"14956","춘천중도물레길 카누 체험 티켓 – 서울 근교 섬 호수 힐링 투어","공개","영업중","예약가능","춘천시","","","강원특별자치도","춘천시","51110","1","매칭"
