code,name_ko,name_en,parent_code,parent_city_ko,priority,spot_count,blog_count,lang_course_count,region_count,pub_region_count,total_links,class_1st,sgg_code,sgg_name,action,action_note,review
66,홍대,Hongdae,5,서울시,2,362,349,0,1,1,712,관광지,11440,마포구,격상,기존공개REGION재배선,
74,경복궁,Gyeongbokgung,5,서울시,10,131,163,0,1,1,295,관광지,11110,종로구,격상,기존공개REGION재배선,
77,이태원,Itaewon,5,서울시,13,98,90,0,1,1,189,관광지,11170,용산구,격상,기존공개REGION재배선,
81,잠실,Jamsil,5,서울시,17,78,78,0,1,1,157,관광지,11710,송파구,격상,기존공개REGION재배선,
87,서면,Seomyeon,,,23,64,24,0,1,1,89,관광지,26230,부산진구,격상,중복대표(병합수신),
151,압구정,Apgujeong,5,서울시,85,51,26,0,1,1,78,관광지,11680,강남구,격상,기존공개REGION재배선,
80,여의도,Yeouido,5,서울시,16,44,37,0,1,1,82,관광지,11560,영등포구,격상,기존공개REGION재배선,
138,경포대,Gyeongpodae,,,72,8,0,0,1,1,9,관광지,51150,강릉시,격상,기존공개REGION재배선,
735,안덕,Andeok,,,154,6,6,0,1,1,13,관광지,50130,서귀포시,격상,기존공개REGION재배선,
130,애월,Aewol,,,65,6,1,0,1,1,8,관광지,50110,제주시,격상,기존공개REGION재배선,
135,월정리,Woljeongri,,,69,5,0,0,1,1,6,관광지,50110,제주시,격상,기존공개REGION재배선,
139,주문진,Joomoonjin,,,73,5,0,0,1,1,6,관광지,51150,강릉시,격상,기존공개REGION재배선,
137,정동진,Jeongdongjin,,,71,4,0,0,1,1,5,관광지,51150,강릉시,격상,기존공개REGION재배선,
69,명동,Myeongdong,5,서울시,5,278,293,0,1,1,572,동,11140,중구,격상,기존공개REGION재배선,
108,남포동,Nampodong,,,43,86,20,0,1,1,107,동,26110,중구,격상,기존공개REGION재배선,
72,신사동,Sinsa,5,서울시,8,76,65,0,1,1,142,동,11680,강남구,격상,기존공개REGION재배선,
477,성수동,Seongsudong,5,서울시,144,67,25,0,1,1,93,동,11200,성동구,격상,중복대표(병합수신),
91,연남동,Yeonnamdong,,,27,65,58,0,0,0,123,동,11440,마포구,격상,신규REGION생성,
75,인사동,Insadong,,,11,47,75,0,0,0,122,동,11110,종로구,격상,신규REGION생성,
83,망원동,Mangwon,,,19,34,35,0,0,0,69,동,11440,마포구,격상,신규REGION생성,
106,감천동,Gamcheondong,,,41,24,16,0,0,0,40,동,26380,사하구,격상,신규REGION생성,
76,삼청동,Samcheongdong,,,12,24,17,0,0,0,41,동,11110,종로구,격상,신규REGION생성,
480,삼성동,Samseongdong,,,146,15,14,0,0,0,29,동,11680,강남구,격상,신규REGION생성,
99,익선동,Ikseondong,,,35,14,27,0,0,0,41,동,11110,종로구,격상,신규REGION생성,
105,신당동,Sindangdong,,,40,10,2,0,0,0,12,동,11140,중구,격상,신규REGION생성,
416,마장동,Majang,,,139,2,2,0,0,0,4,동,11200,성동구,격상,신규REGION생성,
119,노포동,Nopodong,,,54,1,0,0,0,0,1,동,26410,금정구,격상,신규REGION생성,
68,신촌,Sinchon,,,4,111,65,3,0,0,179,관광지,11410,서대문구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
89,충무로,Chungmuro,,,25,65,20,0,0,0,85,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
67,이대,Edae,,,3,58,34,2,0,0,94,관광지,11410,서대문구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
95,회기역,Hwaegi,,,31,47,11,1,0,0,59,관광지,11230,동대문구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
86,대학로(혜화),Hyehwa,,,22,45,25,2,0,0,72,관광지,11110,종로구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
79,건대,Konkuk Univ.,,,15,44,22,2,0,0,68,관광지,11215,광진구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
101,을지로,Euljiro,,,37,42,32,0,0,0,74,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
140,인천공항,Incheon Airport,,,74,36,22,0,1,0,59,관광지,28110,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
78,서울역,Seoul Station,,,14,34,25,0,0,0,59,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
113,광안리,Gwangalli,,,48,28,13,0,0,0,41,관광지,26500,수영구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
73,고속버스터미널,Express Bus Terminal,,,9,26,16,0,0,0,42,관광지,11650,서초구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
64,서촌,Seochon,,,0,26,26,0,1,0,53,관광지,11110,종로구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
94,광화문,Gwanghwamun,,,30,25,16,0,0,0,41,관광지,11110,종로구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
