# ===== 안내 =====
# [포함 기준] 행정구(구·시·군)·무링크·중복을 제외한 '순수 장소명 DL(관광지·동)' 중 스팟 있는 것만 (총 88개)
# [작성법] REGION유지_OX 칸에 O = 이 장소를 REGION(지역 페이지)으로 남김 / 미체크 = REGION 미생성
#          미체크 장소의 스팟은 소속 구로 표기됨 (예: 대림 → 영등포구)
# [기존REGION] O(기존) = 이미 공개된 REGION (참고용, 스팟수·블로그수는 규모 판단용)
이름,영문명,소속구,스팟수,블로그수,기존REGION,REGION유지_OX,비고
홍대,Hongdae,마포구,362,349,O(기존),,
명동,Myeongdong,중구,278,293,O(기존),,
경복궁,Gyeongbokgung,종로구,131,163,O(기존),,
이태원,Itaewon,용산구,98,90,O(기존),,
남포동,Nampodong,중구,86,20,,,부산(id18) 광역 REGION에 포함·개별 없음
잠실,Jamsil,송파구,78,78,O(기존),,
신사동,Sinsa,강남구,76,65,O(기존),,
성수동,Seongsudong,성동구,67,25,O(기존),,
서면,Seomyeon,부산진구,64,24,,,부산(id18) 광역 REGION에 포함·개별 없음
압구정,Apgujeong,강남구,51,26,O(기존),,
여의도,Yeouido,영등포구,44,37,O(기존),,
경포대,Gyeongpodae,강릉시,8,0,,,춘천·가평·강릉(id20) 광역 REGION에 포함·개별 없음
애월,Aewol,제주시,6,1,,,제주(id19) 광역 REGION에 포함·개별 없음
안덕,Andeok,서귀포시,6,6,,,제주(id19) 광역 REGION에 포함·개별 없음
주문진,Joomoonjin,강릉시,5,0,,,춘천·가평·강릉(id20) 광역 REGION에 포함·개별 없음
월정리,Woljeongri,제주시,5,0,,,제주(id19) 광역 REGION에 포함·개별 없음
정동진,Jeongdongjin,강릉시,4,0,,,춘천·가평·강릉(id20) 광역 REGION에 포함·개별 없음
신촌,Sinchon,서대문구,111,65,,,
연남동,Yeonnamdong,마포구,65,58,,,
충무로,Chungmuro,중구,65,20,,,
이대,Edae,서대문구,58,34,,,
회기역,Hwaegi,동대문구,47,11,,,
인사동,Insadong,종로구,47,75,,,
대학로(혜화),Hyehwa,종로구,45,25,,,
건대,Konkuk Univ.,광진구,44,22,,,
을지로,Euljiro,중구,42,32,,,
인천공항,Incheon Airport,중구,36,22,,,
서울역,Seoul Station,중구,34,25,,,
망원동,Mangwon,마포구,34,35,,,
광안리,Gwangalli,수영구,28,13,,,
서촌,Seochon,종로구,26,26,,,
고속버스터미널,Express Bus Terminal,서초구,26,16,,,
광화문,Gwanghwamun,종로구,25,16,,,
삼청동,Samcheongdong,종로구,24,17,,,
감천동,Gamcheondong,사하구,24,16,,,
부경대,Pukyong National Univ.,남구,24,1,,,
부산역,Busan station,동구,22,0,,,
왕십리,Wangsipli,성동구,20,4,,,
남산,Namsan,중구,18,8,,,
차이나타운,China Town,중구,17,0,,,
합정,Hapjeong,마포구,16,20,,,
청량리,Cheongnyangni,동대문구,16,11,,,
삼성동,Samseongdong,강남구,15,14,,,
성산,Seongsan,서귀포시,15,3,,,
노량진,Noryangjin,동작구,15,4,,,
송도,Songdo,연수구,14,13,,,
익선동,Ikseondong,종로구,14,27,,,
북촌,Bukchon,종로구,12,29,,,
신당동,Sindangdong,중구,10,2,,,
시청,City Hall,중구,9,8,,,
세화,Sehwa,제주시,9,0,,,
협재,Hyeopjae,제주시,8,1,,,
안국,Anguk,종로구,7,9,,,
공덕,Gongdeok,마포구,7,5,,,
창덕궁,Changdukgung,종로구,6,6,,,
고려대학교,Korea Univ,성북구,5,3,,,
동묘,Dongmyo,종로구,4,4,,,
부산대,Busan Univ.,금정구,4,1,,,
동성로,Dongseong-ro,중구,4,2,,,
함덕/구좌,Hamdok/Gujwa,제주시,4,4,,,
남대문,Namdaemun,중구,4,8,,,
전포,Jeonpo,부산진구,4,5,,,
중문,Jungmun,서귀포시,4,3,,,
표선,Pyeoseon,서귀포시,3,3,,,
신림,Sillim,관악구,3,1,,,
반월당,Banwoldang,중구,3,6,,,
수유,Suyu,강북구,3,1,,,
서울대입구,Seoul National Univ,관악구,3,7,,,
우도,Udo,제주시,2,2,,,
마장동,Majang,성동구,2,2,,,
이화여자대학교,Ewha Womens Univ,서대문구,2,0,,,
성신여대,Sungshin Women's Univ.,성북구,2,0,,,
청사포,Cheongsapo,해운대구,2,3,,,
김포공항,Gimpo Airport,강서구,2,4,,,
경희대학교,Kyunghee Univ,동대문구,2,2,,,
중앙로(대구),Jungangno,중구,2,7,,,
상수,Sangsu,마포구,2,4,,,
대림,Daerim,영등포구,1,0,,,
상봉,Sangbong,중랑구,1,0,,,
노포동,Nopodong,금정구,1,0,,,
신대방,Sindaebang,동작구,1,0,,,
판교,Pangyo,성남시 분당구,1,0,,,
연세대학교,Yonsei Univ,서대문구,1,0,,,
월미도,Wolmido,중구,1,3,,,
문래,Munllae,영등포구,1,1,,,
월드컵경기장,World cup stadium,마포구,1,3,,,
영종도,Yeongjongdo,중구,1,3,,,
오륙도,Oryookdo,남구,1,0,,,
