type,code,current_city,current_dl,공개상태,target_dl(수기입력)
blog,846,전주시,,미공개,
blog,860,전주시,,공개,
blog,2368,전주시,,공개,
blog,4348,전주시,,공개,
blog,4571,용인시,,공개,
blog,4607,용인시,,미공개,
blog,4637,전주시,,미공개,
blog,4683,용인시,,공개,
blog,4893,전주시,,미공개,
blog,5174,용인시,,공개,
blog,5378,용인시,,미공개,
blog,5538,청주시,,공개,
blog,5564,청주시,,미공개,
blog,5565,청주시,,공개,
blog,5566,청주시,,공개,
blog,5568,청주시,,공개,
blog,5590,포항시,,공개,
blog,5612,청주시,,공개,
blog,5720,전주시,,공개,
blog,5821,전주시,,미공개,
blog,5953,전주시,경복궁,미공개,
blog,6061,전주시,경복궁,미공개,
blog,6098,전주시,,미공개,
blog,6105,창원시,,공개,
blog,6739,전주시,,공개,
blog,6798,전주시,,공개,
blog,6799,전주시,,공개,
blog,6909,전주시,,공개,
blog,6925,전주시,,공개,
blog,6946,포항시,,공개,
blog,7013,전주시,,공개,
blog,7023,전주시,,공개,
blog,7053,전주시,,미공개,
blog,7077,수원시,,공개,
blog,7220,포항시,,미공개,
blog,7465,전주시,,공개,
blog,7680,전주시,,공개,
blog,7742,전주시,,공개,
blog,7790,포항시,,공개,
blog,7839,포항시,,미공개,
blog,7860,고양시,,공개,
blog,7912,용인시,,공개,
blog,7942,전주시,,공개,
blog,8056,청주시,,미공개,
blog,8240,수원시,,공개,
blog,8302,창원시,,공개,
blog,8350,전주시,,공개,
blog,8470,수원시,,공개,
blog,8514,창원시,,공개,
blog,8533,포항시,,미공개,
blog,8801,포항시,,공개,
blog,9375,용인시,,공개,
blog,9397,안산시,,공개,
blog,9841,전주시,,공개,
blog,9969,청주시,,미공개,
blog,10539,용인시,,공개,
blog,10612,고양시,,미공개,
blog,10620,고양시,,미공개,
blog,10761,고양시,,미공개,
blog,11004,고양시,,공개,
blog,11036,포항시,,공개,
blog,11239,성남시,,공개,
blog,12002,안산시,대부도,공개,
blog,12539,안산시,,공개,
blog,12563,용인시,,미공개,
blog,12833,고양시,,미공개,
blog,12863,포항시,,공개,
blog,12864,포항시,,공개,
blog,12865,포항시,,공개,
blog,12866,포항시,,공개,
blog,12909,포항시,,공개,
blog,12950,수원시,,공개,
blog,13003,수원시,,공개,
blog,13023,용인시,,공개,
blog,13128,전주시,,공개,
blog,13143,전주시,,공개,
blog,13144,전주시,,공개,
blog,13145,전주시,,공개,
blog,13146,전주시,,공개,
blog,13147,전주시,,공개,
blog,13148,전주시,,공개,
blog,13161,전주시,,공개,
blog,13204,전주시,,미공개,
blog,13373,포항시,,미공개,
blog,13378,창원시,,미공개,
blog,13393,창원시,,미공개,
blog,13399,전주시,,미공개,
blog,13412,창원시,,미공개,
blog,13415,창원시,,미공개,
blog,13420,창원시,,미공개,
blog,13474,고양시,,미공개,
blog,13581,수원시,,미공개,
blog,13671,안산시,,공개,
blog,13880,용인시,,공개,
blog,13925,전주시,,공개,
blog,13984,포항시,,미공개,
blog,14037,수원시,,공개,
blog,14108,전주시,,미공개,
blog,14115,수원시,,공개,
blog,14270,용인시,,공개,
blog,14355,성남시,,공개,
blog,14961,수원시,,공개,
blog,15030,청주시,,미공개,
user_blog,91,전주시,,미공개,
user_blog,118,전주시,,공개,
user_blog,440,전주시,,공개,
user_blog,448,전주시,,공개,
user_blog,515,전주시,,미공개,
user_blog,663,전주시,,미공개,
user_blog,870,전주시,,미공개,
user_blog,1196,전주시,,미공개,
user_blog,1257,전주시,,미공개,
user_blog,1428,전주시,,미공개,
user_blog,1524,전주시,,미공개,
user_blog,2580,전주시,,미공개,
user_blog,3001,전주시,,공개,
user_blog,3221,전주시,,공개,
user_blog,3241,전주시,,공개,
user_blog,3345,전주시,,공개,
user_blog,3351,전주시,,미공개,
user_blog,3411,전주시,,공개,
user_blog,3441,전주시,,미공개,
user_blog,3524,전주시,,공개,
user_blog,3676,전주시,,공개,
user_blog,3685,전주시,,공개,
user_blog,3864,전주시,,미공개,
user_blog,4064,전주시,,미공개,
user_blog,4760,전주시,,공개,
user_blog,4815,수원시,강남구,공개,
