region_name,gu_code,gu_name,dong_code,dong_name,spot_cnt
감천동,26380,사하구,26380108,감천동,24
건대,11215,광진구,11215105,자양동,18
건대,11215,광진구,11215107,화양동,16
건대,11215,광진구,11215109,군자동,3
건대,11140,중구,11140110,수표동,2
건대,11215,광진구,11215103,구의동,2
건대,11110,종로구,11110136,인사동,1
건대,11200,성동구,11200115,성수동2가,1
건대,11215,광진구,11215104,광장동,1
경복궁,11110,종로구,11110107,적선동,24
경복궁,11110,종로구,11110106,통의동,18
경복궁,11110,종로구,11110108,통인동,12
경복궁,11110,종로구,11110119,세종로,9
경복궁,11110,종로구,11110143,화동,7
경복궁,11110,종로구,11110112,체부동,5
경복궁,11110,종로구,11110141,안국동,5
경복궁,11110,종로구,11110111,옥인동,4
경복궁,11110,종로구,11110132,운니동,4
경복궁,11110,종로구,11110139,팔판동,4
경복궁,11110,종로구,11110142,소격동,4
경복궁,11110,종로구,11110147,재동,3
경복궁,11110,종로구,11110184,부암동,3
경복궁,11410,서대문구,11410109,현저동,3
경복궁,11110,종로구,11110128,관훈동,2
경복궁,11110,종로구,11110148,계동,2
경복궁,11410,서대문구,11410108,영천동,2
경복궁,11110,종로구,11110105,창성동,1
경복궁,11110,종로구,11110110,누하동,1
경복궁,11110,종로구,11110113,필운동,1
경복궁,11110,종로구,11110114,내자동,1
경복궁,11110,종로구,11110118,내수동,1
경복궁,11110,종로구,11110124,수송동,1
경복궁,11110,종로구,11110130,와룡동,1
경복궁,11110,종로구,11110134,경운동,1
경복궁,11110,종로구,11110135,관철동,1
경복궁,11110,종로구,11110140,삼청동,1
경복궁,11110,종로구,11110146,가회동,1
경복궁,11140,중구,11140137,필동1가,1
경복궁,11410,서대문구,11410105,냉천동,1
경복궁,11650,서초구,11650102,양재동,1
경복궁,11680,강남구,11680101,역삼동,1
경복궁,28110,중구,28110147,운서동,1
경복궁,41135,성남시 분당구,41135108,판교동,1
광안리,26500,수영구,26500104,광안동,12
광안리,26500,수영구,26500103,민락동,7
광안리,26500,수영구,26500105,남천동,5
광안리,11140,중구,11140110,수표동,2
광안리,26350,해운대구,26350105,우동,1
광안리,26350,해운대구,26350108,송정동,1
광화문,11110,종로구,11110122,청진동,5
광화문,11110,종로구,11110117,당주동,3
광화문,11110,종로구,11110118,내수동,3
광화문,11110,종로구,11110124,수송동,3
광화문,11110,종로구,11110126,종로1가,2
광화문,11140,중구,11140102,다동,2
광화문,11110,종로구,11110120,신문로1가,1
광화문,11110,종로구,11110123,서린동,1
광화문,11110,종로구,11110125,중학동,1
광화문,11110,종로구,11110142,소격동,1
광화문,11140,중구,11140103,태평로1가,1
광화문,11410,서대문구,11410101,충정로2가,1
광화문,11680,강남구,11680101,역삼동,1
김포공항,11500,강서구,11500105,마곡동,1
김포공항,41570,김포시,41570104,장기동,1
남대문,11140,중구,11140112,남창동,2
남대문,11140,중구,11140116,남대문로3가,1
남대문,11140,중구,11140118,남대문로5가,1
남대문,11140,중구,11140166,서소문동,1
남산,11170,용산구,11170102,용산동2가,7
남산,11140,중구,11140121,회현동1가,2
남산,11140,중구,11140129,남산동2가,2
남산,11140,중구,11140142,예장동,2
남산,11140,중구,11140123,회현동3가,1
남산,11140,중구,11140128,남산동1가,1
남산,11140,중구,11140137,필동1가,1
남산,11170,용산구,11170130,이태원동,1
남포동,26110,중구,26110134,광복동2가,17
남포동,26110,중구,26110138,남포동3가,8
남포동,26110,중구,26110137,남포동2가,6
남포동,26110,중구,26110140,남포동5가,6
남포동,26110,중구,26110141,남포동6가,6
남포동,26110,중구,26110124,부평동2가,5
남포동,26110,중구,26110111,동광동1가,4
남포동,26110,중구,26110120,보수동1가,4
남포동,26110,중구,26110123,부평동1가,4
남포동,26110,중구,26110131,창선동1가,4
남포동,26110,중구,26110110,중앙동7가,3
남포동,26110,중구,26110127,신창동1가,3
남포동,26110,중구,26110133,광복동1가,3
남포동,26110,중구,26110136,남포동1가,3
남포동,26110,중구,26110113,동광동3가,2
남포동,26110,중구,26110130,신창동4가,2
남포동,26110,중구,26110107,중앙동4가,1
남포동,26110,중구,26110109,중앙동6가,1
남포동,26110,중구,26110116,대청동1가,1
남포동,26110,중구,26110117,대청동2가,1
남포동,26110,중구,26110126,부평동4가,1
남포동,26110,중구,26110132,창선동2가,1
남포동,26110,중구,26110135,광복동3가,1
남포동,26110,중구,26110139,남포동4가,1
노량진,11590,동작구,11590101,노량진동,12
