region,구분,스팟수,구(스팟많은순),동(스팟많은순)
강남,재배선,-,"서초구, 강남구","서초동, 역삼동"
경복궁,재배선,128,"종로구, 서대문구, 중구, 서초구, 강남구, 성남시 분당구","적선동, 통의동, 통인동, 세종로, 화동, 안국동, 체부동, 소격동, 옥인동, 팔판동, 운니동, 재동, 부암동, 현저동, 계동, 영천동, 관훈동, 내자동, 와룡동, 창성동, 필동1가, 필운동, 누하동, 내수동, 냉천동, 경운동, 가회동, 양재동, 관철동, 수송동, 삼청동, 역삼동, 판교동, 운서동"
동대문,재배선,-,"중구, 종로구","을지로6가, 흥인동, 종로5가"
명동,재배선,277,"중구, 마포구, 종로구, 영등포구","명동2가, 충무로1가, 충무로2가, 명동1가, 을지로2가, 남산동2가, 소공동, 남대문로2가, 남산동3가, 남산동1가, 다동, 수표동, 회현동3가, 동교동, 저동1가, 회현동1가, 신당동, 회현동2가, 창신동, 영등포동4가, 무교동, 운서동, 을지로3가, 예관동, 저동2가, 을지로1가"
성수동,재배선,103,성동구,"성수동1가, 성수동2가"
신사동,재배선,76,"강남구, 서초구, 중구","신사동, 논현동, 잠원동, 서초동, 수표동, 역삼동"
여의도,재배선,44,영등포구,"여의도동, 신길동"
잠실,재배선,77,"송파구, 강남구, 강동구, 중구, 광진구","잠실동, 신천동, 송파동, 석촌동, 방이동, 삼성동, 천호동, 둔촌동, 삼전동, 다동, 수표동, 자양동, 논현동"
한남(용산),재배선,-,용산구,(용산구 전체)
홍대,재배선,358,"마포구, 서대문구, 중구, 종로구, 성동구, 양평군, 광진구","서교동, 동교동, 연남동, 상수동, 합정동, 창전동, 연희동, 창천동, 성산동, 수표동, 명륜4가, 성수동1가, 서종면, 화양동"
감천동,신규,24,사하구,감천동
건대,신규,44,"광진구, 중구, 성동구, 종로구","자양동, 화양동, 군자동, 구의동, 수표동, 성수동2가, 인사동, 광장동"
광안리,신규,28,"수영구, 중구, 해운대구","광안동, 민락동, 남천동, 수표동, 우동, 송정동"
광화문,신규,25,"종로구, 중구, 강남구, 서대문구","청진동, 당주동, 내수동, 수송동, 다동, 종로1가, 중학동, 서린동, 역삼동, 충정로2가, 태평로1가, 신문로1가, 소격동"
김포공항,신규,2,"강서구, 김포시","마곡동, 장기동"
남대문,신규,5,중구,"남창동, 서소문동, 남대문로5가, 남대문로3가"
남산,신규,17,"중구, 용산구","용산동2가, 회현동1가, 예장동, 남산동2가, 이태원동, 남산동1가, 필동1가, 회현동3가"
남포동,신규,88,중구,"광복동2가, 남포동3가, 남포동2가, 남포동5가, 남포동6가, 부평동2가, 부평동1가, 동광동1가, 보수동1가, 창선동1가, 신창동1가, 광복동1가, 남포동1가, 중앙동7가, 신창동4가, 동광동3가, 중앙동6가, 중앙동4가, 창선동2가, 부평동4가, 남포동4가, 대청동2가, 광복동3가, 대청동1가"
노량진,신규,15,"동작구, 중구","노량진동, 흑석동, 상도1동, 수표동"
동성로,신규,4,중구,"동성로3가, 삼덕동1가, 공평동"
망원동,신규,33,마포구,"망원동, 서교동, 합정동"
부산역,신규,22,"동구, 부산진구, 중구, 청송군","초량동, 부암동, 중앙동4가, 주왕산면"
북촌,신규,11,종로구,"화동, 안국동, 재동, 사직동, 가회동, 계동"
삼성동,신규,15,강남구,"삼성동, 대치동, 역삼동"
삼청동,신규,24,"종로구, 중구, 강남구","삼청동, 화동, 소격동, 안국동, 팔판동, 삼성동, 다동, 수표동"
서면,신규,94,"부산진구, 사하구, 남구","부전동, 전포동, 장림동, 문현동, 범천동, 다대동, 부암동"
서울대입구,신규,3,관악구,봉천동
서울역,신규,34,"중구, 용산구, 관악구","봉래동2가, 동자동, 봉천동, 남대문로5가, 신림동, 청파동3가, 서계동, 청파동2가, 봉래동1가, 만리동1가, 후암동, 정동, 갈월동"
서촌,신규,26,종로구,"통인동, 부암동, 옥인동, 적선동, 체부동, 통의동, 필운동, 누하동, 창성동"
송도,신규,14,"연수구, 서구, 중구","송도동, 암남동, 수표동"
신촌,신규,110,"서대문구, 마포구, 중구","창천동, 노고산동, 대신동, 대현동, 봉원동, 신촌동, 서교동, 신수동, 다동, 북아현동"
안국,신규,7,종로구,"계동, 안국동, 권농동, 재동"
연남동,신규,63,"마포구, 서대문구","연남동, 동교동, 연희동, 창천동"
을지로,신규,42,"중구, 종로구","을지로3가, 을지로2가, 저동2가, 초동, 을지로1가, 을지로6가, 충무로3가, 인현동1가, 오장동, 신당동, 소공동, 북창동, 황학동, 서소문동, 수하동, 태평로2가, 태평로1가, 다동, 장교동, 저동1가, 을지로4가, 삼각동, 을지로7가, 관철동"
이대,신규,57,"서대문구, 마포구, 중구, 동작구","대현동, 창천동, 아현동, 대신동, 북아현동, 염리동, 충정로3가, 수표동, 대흥동, 흑석동"
익선동,신규,14,종로구,"익선동, 돈의동, 낙원동, 묘동"
