category,code,longitude,latitude,note,공개상태,영업중,address_head,조치(수기)
"더미(1,1)",13303,1.0000,1.0000,,미공개,0,크리에이트립,
"더미(1,1)",13823,1.0000,1.0000,,공개,1,,
"더미(1,1)",13835,1.0000,1.0000,,공개,1,1,
"더미(1,1)",13837,1.0000,1.0000,,미공개,0,1,
"더미(1,1)",13841,1.0000,1.0000,,공개,1,1,
"더미(1,1)",13881,1.0000,1.0000,,미공개,0,1,
"더미(1,1)",13882,1.0000,1.0000,,미공개,0,1,
"더미(1,1)",14286,1.0000,1.0000,,공개,1,1,
"더미(1,1)",14974,1.0000,1.0000,,공개,1,서울특별시,
무효(0/null),3424,0.0000,0.0000,,미공개,0,서울특별시 중구 서애로1길 10,
무효(0/null),4688,0.0000,0.0000,,공개,1,서울특별시 용산구 대사관로 41 코트디부와르대사관저,
무효(0/null),4711,0.0000,0.0000,,미공개,1,서울특별시 용산구 회나무로44길 34,
무효(0/null),4772,0.0000,0.0000,,미공개,1,서울특별시 마포구 와우산로29바길 9 동우빌딩,
무효(0/null),4794,0.0000,0.0000,,미공개,1,서울특별시 마포구 와우산로29길 5,
무효(0/null),6210,0.0000,0.0000,,공개,1,,
무효(0/null),8732,0.0000,0.0000,,미공개,1,,
무효(0/null),15776,0.0000,0.0000,,미공개,1,서울 강동구 아리수로61길 103 로봇아레나 1F,
바다/경계(매핑실패),12782,126.5830,37.2856,legal=(없음),미공개,0,,
바다/경계(매핑실패),13685,128.9627,35.0465,legal=(없음),미공개,0,,
오배정(시도불일치),131,126.8800,35.1618,legal=29,공개,1,전라남도 광주광역시 서구 무진대로 904,
오배정(시도불일치),5437,127.0520,37.2361,legal=41,공개,1,강원 강릉시 하슬라로 24 1층,
오배정(시도불일치),11262,126.9260,37.5581,legal=11,미공개,0,인천공항/김포공항/서울시,
오배정(시도불일치),12157,126.9820,37.5685,legal=11,미공개,0,강원 고성군 간성읍 꽃대마을길 175,
오배정(시도불일치),12331,126.9820,37.5685,legal=11,미공개,0,강원도 평창군 대관령면 횡계리 344-116,
오배정(시도불일치),12380,126.9820,37.5685,legal=11,미공개,0,강원도 태백시 황지동 구와우길 38-20,
오배정(시도불일치),12425,126.9820,37.5685,legal=11,미공개,0,제주특별자치도 서귀포시 성산읍 섭지코지로 95,
오배정(시도불일치),12629,126.9820,37.5685,legal=11,미공개,0,경기도 수원시 권선구 권선동 세지로126번길 7 1층,
오배정(시도불일치),12738,126.9884,37.5676,legal=11,미공개,0,경기도 고양시 덕양구 고양대로 1955 B1,
오배정(시도불일치),12739,126.9884,37.5676,legal=11,미공개,1,부산 해운대구 구남로12번길 11,
오배정(시도불일치),12741,126.9884,37.5676,legal=11,미공개,0,부산 수영구 광남로 157 2F,
오배정(시도불일치),12742,126.9884,37.5676,legal=11,공개,1,부산 수영구 광남로 189-1,
오배정(시도불일치),12786,126.9884,37.5676,legal=11,미공개,0,강원도 평창군 대관령면 올림픽로 715 모나파크 용평리,
오배정(시도불일치),12795,126.9884,37.5676,legal=11,공개,1,인천 연수구 신송로 154 2F 208호,
오배정(시도불일치),12800,126.9884,37.5676,legal=11,미공개,0,"인천 연수구 신송로 153, 6F 605, 606호",
오배정(시도불일치),13034,126.8671,37.4982,legal=11,공개,0,인천 중구 용유로 700,
오배정(시도불일치),14301,126.9827,37.5609,legal=11,공개,1,인천공항/김포공항/서울시,
오배정(시도불일치),14611,126.9775,37.5764,legal=41,공개,1,서울 종로구 사직로 161,
오배정(시도불일치),15043,127.1109,37.5551,legal=11,미공개,0,제주특별자치도 서귀포시 성산읍 고성리 2039-22,
한국밖(해외/이상),10932,138.7670,35.5230,,미공개,1,"日本〒401-0304 Yamanashi-ken, Min",
한국밖(해외/이상),10960,121.5050,25.0453,,공개,1,108台灣台北市萬華區武昌街二段83號,
한국밖(해외/이상),10961,121.5620,25.0313,,공개,1,110台灣台北市信義區松勤街54號,
한국밖(해외/이상),10962,121.5320,25.0464,,공개,1,10491台灣台北市中山區新生北路一段11-5號,
한국밖(해외/이상),10963,121.5350,25.0489,,공개,1,10491台灣台北市中山區伊通街19巷8號,
한국밖(해외/이상),10964,121.5380,25.0310,,공개,1,106台灣台北市大安區建國南路二段79巷9號,
한국밖(해외/이상),10965,121.5460,25.0816,,공개,1,10491台灣台北市中山區大直街34巷20號,
한국밖(해외/이상),10966,121.5320,25.0171,,공개,1,106台灣台北市大安區羅斯福路三段331號,
한국밖(해외/이상),10967,121.5470,25.0405,,공개,1,106台灣台北市大安區敦化南路一段236巷36號,
한국밖(해외/이상),10968,121.5630,25.0426,,미공개,1,110台灣台北市信義區忠孝東路四段553巷12號,
한국밖(해외/이상),10969,121.5310,25.0327,,공개,1,106台灣台北市大安區信義路二段198巷7-3號,
한국밖(해외/이상),11656,82.6959,37.0641,,미공개,1,중국 신장 위구르 자치구 허톈 지구 민펑 현,
한국밖(해외/이상),14486,120.6421,24.1568,,미공개,0,台中市西屯區市政路77號,
한국밖(해외/이상),14753,120.6421,24.1568,,공개,1,台中市西屯區市政路77號,
한국밖(해외/이상),14886,103.8559,1.2967,,공개,1,"30 Beach Road, Nicoll Hwy, Acc",
한국밖(해외/이상),14887,103.8559,1.2967,,공개,1,"30 Beach Road, Nicoll Hwy, Acc",
한국밖(해외/이상),14920,121.5655,25.0409,,미공개,0,台灣台北市信義區忠孝東路五段10號,
