region_id,ko,en,jp,zh-CN,zh-TW,zh-HK,th,vi,id,ru,mn,de,fr,es,it
532,감천동,Gamcheon,甘川洞(カムチョンドン),甘川洞,甘川洞,甘川洞,คัมชอนดง,Gamcheon,Gamcheon,Камчхондон,Камчондон,Gamcheon,Gamcheon,Gamcheon,Gamcheon
533,건대,Konkuk Univ.,建大(コンデ),建大,建大,建大,คอนแด,Konkuk Univ.,Konkuk Univ.,Кондэ,Кондэ,Konkuk Univ.,Konkuk Univ.,Konkuk Univ.,Konkuk Univ.
534,광안리,Gwangalli,広安里(クァンアルリ),广安里,廣安里,廣安里,ควังอันรี,Gwangalli,Gwangalli,Кванъалли,Гуанъалли,Gwangalli,Gwangalli,Gwangalli,Gwangalli
535,광화문,Gwanghwamun,光化門(クァンファムン),光化门,光化門,光化門,ควังฮวามุน,Gwanghwamun,Gwanghwamun,Кванхвамун,Гванхвамун,Gwanghwamun,Gwanghwamun,Gwanghwamun,Gwanghwamun
536,김포공항,Gimpo Airport,金浦空港(キンポくうこう),金浦机场,金浦機場,金浦機場,สนามบินกิมโพ,Gimpo Airport,Gimpo Airport,Аэропорт Кимпхо,Кимпо нисэх буудал,Gimpo Airport,Gimpo Airport,Gimpo Airport,Gimpo Airport
537,남대문,Namdaemun,南大門(ナムデムン),南大门,南大門,南大門,นัมแดมุน,Namdaemun,Namdaemun,Намдэмун,Намдэмун,Namdaemun,Namdaemun,Namdaemun,Namdaemun
538,남산,Namsan,南山(ナムサン),南山,南山,南山,นัมซาน,Namsan,Namsan,Намсан,Намсан,Namsan,Namsan,Namsan,Namsan
539,남포동,Nampo-dong,南浦洞(ナンポドン),南浦洞,南浦洞,南浦洞,นัมโพดง,Nampo-dong,Nampo-dong,Нампходон,Намподон,Nampo-dong,Nampo-dong,Nampo-dong,Nampo-dong
540,노량진,Noryangjin,鷺梁津(ノリャンジン),鹭梁津,鷺梁津,鷺梁津,โนรยางจิน,Noryangjin,Noryangjin,Норянджин,Норянжин,Noryangjin,Noryangjin,Noryangjin,Noryangjin
541,동성로,Dongseong-ro,東城路(トンソンノ),东城路,東城路,東城路,ทงซองโน,Dongseong-ro,Dongseong-ro,Тонсонно,Донсонно,Dongseong-ro,Dongseong-ro,Dongseong-ro,Dongseong-ro
542,부산역,Busan Station,釜山駅(プサンえき),釜山站,釜山站,釜山站,สถานีปูซาน,Busan Station,Busan Station,Станция Пусан,Пусан өртөө,Busan Station,Busan Station,Busan Station,Busan Station
543,북촌,Bukchon,北村(プクチョン),北村,北村,北村,พุกชน,Bukchon,Bukchon,Пукчхон,Букчон,Bukchon,Bukchon,Bukchon,Bukchon
544,서면,Seomyeon,西面(ソミョン),西面,西面,西面,ซอมยอน,Seomyeon,Seomyeon,Сомён,Сомён,Seomyeon,Seomyeon,Seomyeon,Seomyeon
545,서울대입구,Seoul Nat'l Univ.,ソウル大入口(ソウルデイプク),首尔大学入口,首爾大學入口,首爾大學入口,มหาวิทยาลัยแห่งชาติโซล,Seoul Nat'l Univ.,Seoul Nat'l Univ.,Сеульский нац. ун-т,Сөүлийн их сургууль,Seoul Nat'l Univ.,Seoul Nat'l Univ.,Seoul Nat'l Univ.,Seoul Nat'l Univ.
546,서울역,Seoul Station,ソウル駅(ソウルえき),首尔站,首爾站,首爾站,สถานีโซล,Seoul Station,Seoul Station,Станция Сеул,Сөүл өртөө,Seoul Station,Seoul Station,Seoul Station,Seoul Station
547,서촌,Seochon,西村(ソチョン),西村,西村,西村,ซอชน,Seochon,Seochon,Сочхон,Сочон,Seochon,Seochon,Seochon,Seochon
548,송도,Songdo,松島(ソンド),松岛,松島,松島,ซงโด,Songdo,Songdo,Сондо,Сондо,Songdo,Songdo,Songdo,Songdo
549,신촌,Sinchon,新村(シンチョン),新村,新村,新村,ชินชน,Sinchon,Sinchon,Синчхон,Синчон,Sinchon,Sinchon,Sinchon,Sinchon
550,안국,Anguk,安国(アングク),安国,安國,安國,อันกุก,Anguk,Anguk,Ангук,Ангук,Anguk,Anguk,Anguk,Anguk
551,연남동,Yeonnam-dong,延南洞(ヨンナムドン),延南洞,延南洞,延南洞,ยอนนัมดง,Yeonnam-dong,Yeonnam-dong,Ённамдон,Ённамдон,Yeonnam-dong,Yeonnam-dong,Yeonnam-dong,Yeonnam-dong
552,을지로,Euljiro,乙支路(ウルチロ),乙支路,乙支路,乙支路,อึลจีโร,Euljiro,Euljiro,Ыльчиро,Үлжиро,Euljiro,Euljiro,Euljiro,Euljiro
553,이대,Ewha Womans Univ.,梨大(イデ),梨大,梨大,梨大,อีแด,Ewha Womans Univ.,Ewha Womans Univ.,Ихва,Ихва,Ewha Womans Univ.,Ewha Womans Univ.,Ewha Womans Univ.,Ewha Womans Univ.
554,인천공항,Incheon Airport,仁川空港(インチョンくうこう),仁川机场,仁川機場,仁川機場,สนามบินอินชอน,Incheon Airport,Incheon Airport,Аэропорт Инчхон,Инчон нисэх буудал,Incheon Airport,Incheon Airport,Incheon Airport,Incheon Airport
555,전포,Jeonpo,田浦(チョンポ),田浦,田浦,田浦,ชอนโพ,Jeonpo,Jeonpo,Чонпхо,Чонпо,Jeonpo,Jeonpo,Jeonpo,Jeonpo
556,창덕궁,Changdeokgung,昌徳宮(チャンドックン),昌德宫,昌德宮,昌德宮,ชังด็อกกุง,Changdeokgung,Changdeokgung,Чхандоккун,Чандоккун,Changdeokgung,Changdeokgung,Changdeokgung,Changdeokgung
557,청량리,Cheongnyangni,清涼里(チョンニャンニ),清凉里,淸涼里,淸涼里,ชองนยางนี,Cheongnyangni,Cheongnyangni,Чхоннянни,Чоннянни,Cheongnyangni,Cheongnyangni,Cheongnyangni,Cheongnyangni
558,충무로,Chungmuro,忠武路(チュンムロ),忠武路,忠武路,忠武路,ชุงมูโร,Chungmuro,Chungmuro,Чхунмуро,Чунмуро,Chungmuro,Chungmuro,Chungmuro,Chungmuro
559,합정,Hapjeong,合井(ハプチョン),合井,合井,合井,ฮับจอง,Hapjeong,Hapjeong,Хапчон,Хапжон,Hapjeong,Hapjeong,Hapjeong,Hapjeong
