rank,blog_code,category,impressions,clicks,ctr
1,14702,unmatched:unpublished(404 likely),50,11,0.220000
2,13643,unmatched:unpublished(404 likely),71,14,0.197183
3,10000,unmatched:unpublished(404 likely),1367,177,0.129481
4,14374,unmatched:unpublished(404 likely),100,11,0.110000
5,14509,unmatched:unpublished(404 likely),100,11,0.110000
6,12793,unmatched:unpublished(404 likely),79,8,0.101266
7,13547,unmatched:unpublished(404 likely),87,8,0.091954
8,5372,travel:passing,101,8,0.079208
9,14440,unmatched:unpublished(404 likely),53,4,0.075472
10,14561,unmatched:unpublished(404 likely),93,7,0.075269
11,8958,unmatched:unpublished(404 likely),54,4,0.074074
12,14541,unmatched:unpublished(404 likely),54,4,0.074074
13,13759,unmatched:unpublished(404 likely),95,7,0.073684
14,14387,unmatched:unpublished(404 likely),110,8,0.072727
15,10837,unmatched:unpublished(404 likely),56,4,0.071429
16,13981,unmatched:unpublished(404 likely),118,8,0.067797
17,5005,travel:low,107,7,0.065421
18,6124,travel:passing,64,4,0.062500
19,13577,unmatched:unpublished(404 likely),64,4,0.062500
20,14894,unmatched:unpublished(404 likely),64,4,0.062500
21,12540,unmatched:unpublished(404 likely),192,11,0.057292
22,8924,unmatched:unpublished(404 likely),71,4,0.056338
23,13519,unmatched:unpublished(404 likely),73,4,0.054795
24,14663,unmatched:unpublished(404 likely),131,7,0.053435
25,9862,unmatched:unpublished(404 likely),75,4,0.053333
26,14367,unmatched:unpublished(404 likely),75,4,0.053333
27,6995,travel:low,151,8,0.052980
28,5398,unmatched:published(non-travel),76,4,0.052632
29,14988,unmatched:unpublished(404 likely),76,4,0.052632
30,7169,travel:low,78,4,0.051282
31,4428,unmatched:unpublished(404 likely),142,7,0.049296
32,1529,travel:killer,164,8,0.048780
33,11546,unmatched:unpublished(404 likely),82,4,0.048780
34,13589,unmatched:unpublished(404 likely),82,4,0.048780
35,14341,unmatched:unpublished(404 likely),228,11,0.048246
36,11280,unmatched:unpublished(404 likely),973,46,0.047276
37,13535,unmatched:unpublished(404 likely),87,4,0.045977
38,2353,unmatched:published(non-travel),418,19,0.045455
39,15021,unmatched:unpublished(404 likely),160,7,0.043750
40,7938,unmatched:unpublished(404 likely),1523,65,0.042679
41,13520,unmatched:unpublished(404 likely),189,8,0.042328
42,2901,travel:passing,1474,57,0.038670
43,2333,travel:passing,208,8,0.038462
44,10216,unmatched:unpublished(404 likely),208,8,0.038462
45,14533,unmatched:unpublished(404 likely),104,4,0.038462
46,5233,travel:killer,106,4,0.037736
47,10868,unmatched:unpublished(404 likely),107,4,0.037383
48,11022,unmatched:unpublished(404 likely),107,4,0.037383
49,6733,travel:passing,482,18,0.037344
50,14800,unmatched:unpublished(404 likely),112,4,0.035714
51,9384,unmatched:unpublished(404 likely),113,4,0.035398
52,14806,unmatched:unpublished(404 likely),121,4,0.033058
53,15051,unmatched:unpublished(404 likely),121,4,0.033058
54,14251,unmatched:unpublished(404 likely),129,4,0.031008
55,6065,travel:passing,131,4,0.030534
56,11275,unmatched:unpublished(404 likely),132,4,0.030303
57,8644,unmatched:unpublished(404 likely),135,4,0.029630
58,5110,travel:passing,136,4,0.029412
59,14272,unmatched:unpublished(404 likely),137,4,0.029197
60,7497,unmatched:unpublished(404 likely),138,4,0.028986
61,4825,travel:low,139,4,0.028777
62,5549,travel:passing,2991,86,0.028753
63,13227,unmatched:unpublished(404 likely),146,4,0.027397
64,9451,unmatched:unpublished(404 likely),954,26,0.027254
65,13623,unmatched:unpublished(404 likely),148,4,0.027027
66,14634,unmatched:unpublished(404 likely),148,4,0.027027
67,3490,travel:killer,150,4,0.026667
68,11469,unmatched:unpublished(404 likely),150,4,0.026667
69,13799,unmatched:unpublished(404 likely),450,12,0.026667
70,14670,unmatched:unpublished(404 likely),153,4,0.026144
71,11339,unmatched:unpublished(404 likely),154,4,0.025974
72,6481,unmatched:published(non-travel),155,4,0.025806
73,4610,travel:low,156,4,0.025641
74,13741,unmatched:unpublished(404 likely),474,12,0.025316
75,14881,unmatched:unpublished(404 likely),278,7,0.025180
76,14674,unmatched:unpublished(404 likely),160,4,0.025000
77,5671,travel:low,162,4,0.024691
78,14157,unmatched:unpublished(404 likely),162,4,0.024691
79,11017,unmatched:unpublished(404 likely),165,4,0.024242
80,4480,travel:passing,759,18,0.023715
81,4290,travel:passing,934,22,0.023555
82,13622,unmatched:unpublished(404 likely),171,4,0.023392
83,14919,unmatched:unpublished(404 likely),351,8,0.022792
84,12501,unmatched:unpublished(404 likely),176,4,0.022727
85,13975,unmatched:unpublished(404 likely),177,4,0.022599
86,4515,travel:passing,179,4,0.022346
87,8457,unmatched:unpublished(404 likely),182,4,0.021978
88,13739,unmatched:unpublished(404 likely),551,12,0.021779
89,14808,unmatched:unpublished(404 likely),189,4,0.021164
90,13999,unmatched:unpublished(404 likely),191,4,0.020942
91,14915,unmatched:unpublished(404 likely),382,8,0.020942
92,4819,travel:low,195,4,0.020513
93,10636,unmatched:unpublished(404 likely),195,4,0.020513
94,5120,travel:passing,391,8,0.020460
95,14282,unmatched:unpublished(404 likely),588,12,0.020408
96,13149,unmatched:unpublished(404 likely),197,4,0.020305
97,14867,unmatched:unpublished(404 likely),563,11,0.019538
98,4232,travel:passing,564,11,0.019504
99,4506,travel:passing,213,4,0.018779
100,14807,unmatched:unpublished(404 likely),383,7,0.018277
101,14506,unmatched:unpublished(404 likely),219,4,0.018265
102,14213,unmatched:unpublished(404 likely),229,4,0.017467
103,4774,travel:passing,231,4,0.017316
104,14638,unmatched:unpublished(404 likely),410,7,0.017073
105,13494,unmatched:unpublished(404 likely),415,7,0.016867
