rank,blog_code,segment,impressions,clicks,ctr
1,5372,passing,101,8,0.079208
2,5005,low,107,7,0.065421
3,6124,passing,64,4,0.062500
4,6995,low,151,8,0.052980
5,5398,비여행,76,4,0.052632
6,7169,low,78,4,0.051282
7,1529,killer,164,8,0.048780
8,2353,비여행,418,19,0.045455
9,2901,passing,1474,57,0.038670
10,2333,passing,208,8,0.038462
11,5233,killer,106,4,0.037736
12,6733,passing,482,18,0.037344
13,6065,passing,131,4,0.030534
14,5110,passing,136,4,0.029412
15,4825,low,139,4,0.028777
16,5549,passing,2991,86,0.028753
17,3490,killer,150,4,0.026667
18,6481,비여행,155,4,0.025806
19,4610,low,156,4,0.025641
20,5671,low,162,4,0.024691
21,4480,passing,759,18,0.023715
22,4290,passing,934,22,0.023555
23,4515,passing,179,4,0.022346
24,4819,low,195,4,0.020513
25,5120,passing,391,8,0.020460
26,4232,passing,564,11,0.019504
27,4506,passing,213,4,0.018779
28,4774,passing,231,4,0.017316
29,3781,killer,671,11,0.016393
30,6222,passing,252,4,0.015873
31,867,killer,262,4,0.015267
32,4728,passing,1012,15,0.014822
33,4647,killer,483,7,0.014493
34,5538,passing,1342,18,0.013413
35,385,passing,325,4,0.012308
36,2041,passing,686,8,0.011662
37,6269,passing,343,4,0.011662
38,5500,low,1962,22,0.011213
39,5655,passing,2757,29,0.010519
40,327,killer,382,4,0.010471
41,6307,passing,1146,12,0.010471
42,2692,passing,390,4,0.010256
43,836,passing,795,8,0.010063
44,1603,killer,399,4,0.010025
45,4511,passing,400,4,0.010000
46,1525,passing,1807,18,0.009961
47,4457,passing,834,8,0.009592
48,3591,killer,427,4,0.009368
49,5325,passing,428,4,0.009346
50,2551,passing,472,4,0.008475
51,3759,killer,510,4,0.007843
52,5483,passing,511,4,0.007828
53,6945,passing,517,4,0.007737
54,6795,비여행,520,4,0.007692
55,2657,passing,524,4,0.007634
56,3561,killer,527,4,0.007590
57,1822,passing,551,4,0.007260
58,5305,killer,555,4,0.007207
59,2384,passing,556,4,0.007194
60,2847,passing,1799,12,0.006670
61,158,passing,1311,8,0.006102
62,4896,killer,675,4,0.005926
