blog_code,segment,impressions,clicks,ctr
86,hidden,268,0,0.000000
125,hidden,173,0,0.000000
3600,hidden,165,0,0.000000
4156,hidden,159,0,0.000000
1802,hidden,121,0,0.000000
5621,hidden,116,0,0.000000
778,hidden,110,0,0.000000
825,hidden,108,0,0.000000
3116,hidden,106,0,0.000000
4352,hidden,91,0,0.000000
76,hidden,89,0,0.000000
999,hidden,83,0,0.000000
4988,hidden,76,0,0.000000
1552,hidden,70,0,0.000000
2455,hidden,69,0,0.000000
996,hidden,67,0,0.000000
4971,hidden,61,0,0.000000
5525,hidden,59,0,0.000000
3851,hidden,51,0,0.000000
1507,hidden,48,0,0.000000
2381,hidden,46,0,0.000000
5017,hidden,45,0,0.000000
1447,hidden,42,0,0.000000
3909,hidden,41,0,0.000000
756,hidden,39,0,0.000000
2225,hidden,38,0,0.000000
1401,hidden,36,0,0.000000
2846,hidden,33,0,0.000000
4328,hidden,30,0,0.000000
3764,hidden,29,0,0.000000
1449,hidden,23,0,0.000000
2186,hidden,23,0,0.000000
2952,hidden,22,0,0.000000
2552,hidden,21,0,0.000000
3721,hidden,21,0,0.000000
1537,hidden,20,0,0.000000
2429,hidden,16,0,0.000000
4425,hidden,14,0,0.000000
1154,hidden,14,0,0.000000
2361,hidden,13,0,0.000000
2230,hidden,11,0,0.000000
3063,hidden,11,0,0.000000
5395,hidden,11,0,0.000000
1093,hidden,9,0,0.000000
3,hidden,9,0,0.000000
4760,hidden,9,0,0.000000
2178,hidden,9,0,0.000000
1045,hidden,9,0,0.000000
1565,hidden,9,0,0.000000
2132,hidden,8,0,0.000000
2961,hidden,8,0,0.000000
5055,hidden,8,0,0.000000
5286,hidden,8,0,0.000000
4613,hidden,7,0,0.000000
2370,hidden,6,0,0.000000
4588,hidden,6,0,0.000000
5056,hidden,6,0,0.000000
4950,hidden,5,0,0.000000
3562,hidden,5,0,0.000000
3601,hidden,5,2,0.400000
4467,hidden,5,0,0.000000
4882,hidden,5,0,0.000000
4356,hidden,4,0,0.000000
4656,hidden,4,0,0.000000
5519,hidden,4,0,0.000000
4005,hidden,4,0,0.000000
1579,hidden,4,0,0.000000
2082,hidden,4,0,0.000000
2440,hidden,4,0,0.000000
3369,hidden,4,0,0.000000
4985,hidden,4,0,0.000000
4633,hidden,3,0,0.000000
1944,hidden,3,0,0.000000
1031,hidden,3,0,0.000000
3774,hidden,3,0,0.000000
4892,hidden,3,0,0.000000
1425,hidden,3,0,0.000000
1463,hidden,3,0,0.000000
2348,hidden,3,0,0.000000
2834,hidden,3,0,0.000000
4358,hidden,3,0,0.000000
4378,hidden,3,0,0.000000
4431,hidden,3,0,0.000000
4889,hidden,3,0,0.000000
4101,hidden,2,0,0.000000
4970,hidden,2,0,0.000000
2014,hidden,2,0,0.000000
1028,hidden,2,0,0.000000
1390,hidden,2,0,0.000000
1836,hidden,2,0,0.000000
3321,hidden,2,0,0.000000
3807,hidden,2,0,0.000000
4319,hidden,2,0,0.000000
4381,hidden,2,0,0.000000
4704,hidden,2,0,0.000000
5074,hidden,2,0,0.000000
3712,hidden,1,0,0.000000
3719,hidden,1,0,0.000000
4981,hidden,1,0,0.000000
237,hidden,1,0,0.000000
2096,hidden,1,0,0.000000
1294,hidden,1,0,0.000000
1586,hidden,1,0,0.000000
1619,hidden,1,0,0.000000
2032,hidden,1,0,0.000000
2354,hidden,1,0,0.000000
339,hidden,1,0,0.000000
4405,hidden,1,0,0.000000
5380,hidden,1,0,0.000000
5466,hidden,1,0,0.000000
5075,killer,2268,12,0.005291
2,killer,1788,0,0.000000
3106,killer,1351,0,0.000000
4770,killer,1039,0,0.000000
3401,killer,533,0,0.000000
2568,killer,508,0,0.000000
3781,killer,462,0,0.000000
4027,killer,419,0,0.000000
852,killer,404,0,0.000000
4896,killer,370,0,0.000000
3173,killer,364,0,0.000000
5518,killer,350,0,0.000000
781,killer,332,0,0.000000
938,killer,315,2,0.006349
5305,killer,296,1,0.003378
2418,killer,292,0,0.000000
2627,killer,266,0,0.000000
3759,killer,250,1,0.004000
4647,killer,247,3,0.012146
465,killer,215,0,0.000000
3829,killer,212,0,0.000000
4772,killer,211,1,0.004739
2528,killer,207,0,0.000000
3951,killer,193,0,0.000000
3591,killer,188,0,0.000000
3592,killer,185,0,0.000000
327,killer,173,0,0.000000
5332,killer,173,0,0.000000
867,killer,170,0,0.000000
2563,killer,166,0,0.000000
4503,killer,132,0,0.000000
1603,killer,126,0,0.000000
675,killer,118,0,0.000000
216,killer,117,0,0.000000
3561,killer,109,0,0.000000
993,killer,105,0,0.000000
4001,killer,105,0,0.000000
1422,killer,99,0,0.000000
4710,killer,98,0,0.000000
3626,killer,93,0,0.000000
4560,killer,85,0,0.000000
4145,killer,76,0,0.000000
1529,killer,75,0,0.000000
2969,killer,75,0,0.000000
5099,killer,73,0,0.000000
4265,killer,67,0,0.000000
4569,killer,67,0,0.000000
4899,killer,63,0,0.000000
975,killer,62,1,0.016129
507,killer,61,0,0.000000
4594,killer,61,0,0.000000
2612,killer,57,0,0.000000
3849,killer,55,0,0.000000
4659,killer,51,0,0.000000
4217,killer,48,0,0.000000
3490,killer,47,0,0.000000
4606,killer,46,0,0.000000
2801,killer,44,0,0.000000
4746,killer,43,0,0.000000
4550,killer,42,0,0.000000
5379,killer,42,1,0.023810
2532,killer,40,0,0.000000
990,killer,39,1,0.025641
1458,killer,39,0,0.000000
2995,killer,38,0,0.000000
2746,killer,38,0,0.000000
2945,killer,38,0,0.000000
2872,killer,37,0,0.000000
5122,killer,36,0,0.000000
6044,killer,36,0,0.000000
1240,killer,32,0,0.000000
4155,killer,30,0,0.000000
3094,killer,26,0,0.000000
5011,killer,24,0,0.000000
1088,killer,22,0,0.000000
3462,killer,22,0,0.000000
5148,killer,20,0,0.000000
5187,killer,19,0,0.000000
4559,killer,18,0,0.000000
4702,killer,16,0,0.000000
4813,killer,15,0,0.000000
4959,killer,15,0,0.000000
1378,killer,14,0,0.000000
2175,killer,14,0,0.000000
4414,killer,14,0,0.000000
1913,killer,13,0,0.000000
4124,killer,12,0,0.000000
2684,killer,12,0,0.000000
545,killer,11,0,0.000000
2464,killer,11,0,0.000000
4575,killer,11,0,0.000000
4749,killer,10,0,0.000000
3778,killer,9,0,0.000000
4972,killer,9,0,0.000000
5233,killer,9,0,0.000000
4424,killer,8,0,0.000000
4926,killer,7,0,0.000000
2985,killer,5,0,0.000000
4661,killer,5,0,0.000000
4370,killer,4,0,0.000000
2655,killer,4,0,0.000000
3406,killer,4,0,0.000000
4030,killer,3,0,0.000000
5043,killer,3,0,0.000000
4795,killer,3,0,0.000000
4614,killer,2,0,0.000000
4561,killer,2,0,0.000000
2521,killer,2,0,0.000000
4641,killer,2,0,0.000000
2669,killer,1,0,0.000000
5500,low,1415,2,0.001413
6456,low,450,0,0.000000
5035,low,327,0,0.000000
4951,low,301,0,0.000000
6105,low,273,0,0.000000
5377,low,244,0,0.000000
5682,low,183,0,0.000000
7132,low,168,0,0.000000
5909,low,158,0,0.000000
6760,low,142,0,0.000000
3938,low,140,0,0.000000
5085,low,138,0,0.000000
4794,low,134,0,0.000000
6116,low,126,0,0.000000
7241,low,122,0,0.000000
2304,low,110,0,0.000000
2276,low,109,0,0.000000
5683,low,94,0,0.000000
4835,low,91,0,0.000000
2020,low,89,0,0.000000
4383,low,85,0,0.000000
4267,low,82,0,0.000000
5661,low,77,0,0.000000
6946,low,74,0,0.000000
2452,low,73,0,0.000000
5665,low,73,0,0.000000
974,low,70,0,0.000000
1047,low,60,0,0.000000
4819,low,60,0,0.000000
5824,low,58,0,0.000000
5090,low,58,1,0.017241
5962,low,57,0,0.000000
5145,low,57,0,0.000000
4269,low,56,0,0.000000
4919,low,51,0,0.000000
5321,low,51,0,0.000000
5667,low,48,0,0.000000
