blog_code,segment,impressions,clicks,ctr
2,killer,2287,0,0.000000
3,hidden,62,0,0.000000
4,passing,64,0,0.000000
14,passing,181,0,0.000000
18,low,8,0,0.000000
44,hidden,11,0,0.000000
70,passing,96,0,0.000000
76,hidden,142,0,0.000000
86,hidden,350,0,0.000000
87,low,22,0,0.000000
125,hidden,212,0,0.000000
138,passing,18,0,0.000000
154,low,30,0,0.000000
157,hidden,18,0,0.000000
158,passing,1309,8,0.006112
164,passing,2163,0,0.000000
183,low,4,0,0.000000
189,low,35,0,0.000000
216,killer,316,0,0.000000
237,hidden,11,0,0.000000
304,passing,90,0,0.000000
316,(unmatched),168,0,0.000000
319,passing,3924,8,0.002039
327,killer,381,4,0.010499
339,hidden,32,0,0.000000
347,passing,2752,0,0.000000
380,(unmatched),11,0,0.000000
385,passing,325,4,0.012308
407,passing,129,0,0.000000
414,passing,4358,0,0.000000
429,(unmatched),549,0,0.000000
437,(unmatched),19,0,0.000000
439,passing,27,0,0.000000
465,killer,566,0,0.000000
470,passing,651,0,0.000000
489,passing,15,0,0.000000
505,passing,30,0,0.000000
507,killer,172,0,0.000000
513,(unmatched),152,0,0.000000
517,passing,146,0,0.000000
532,passing,12,0,0.000000
543,low,11,0,0.000000
545,killer,83,0,0.000000
549,low,4,0,0.000000
662,passing,1144,0,0.000000
665,hidden,29,8,0.275862
675,killer,320,0,0.000000
682,passing,600,0,0.000000
696,(unmatched),267,0,0.000000
703,passing,4302,8,0.001860
707,low,8,0,0.000000
724,passing,1081,0,0.000000
747,low,43,0,0.000000
754,low,53,0,0.000000
756,hidden,159,0,0.000000
762,(unmatched),71,0,0.000000
778,hidden,180,0,0.000000
781,killer,517,0,0.000000
796,(unmatched),8,0,0.000000
798,passing,352,0,0.000000
810,passing,4890,15,0.003067
811,hidden,4,0,0.000000
820,passing,46,0,0.000000
823,low,123,0,0.000000
825,hidden,195,0,0.000000
831,hidden,21,0,0.000000
836,passing,794,8,0.010076
839,passing,261,0,0.000000
852,killer,685,4,0.005839
860,low,111,0,0.000000
867,killer,262,4,0.015267
902,passing,417,0,0.000000
921,low,18,0,0.000000
923,passing,185,0,0.000000
932,low,11,0,0.000000
938,killer,756,4,0.005291
963,passing,1870,0,0.000000
974,low,124,0,0.000000
975,killer,161,0,0.000000
990,killer,182,0,0.000000
993,killer,273,0,0.000000
996,hidden,124,0,0.000000
997,low,4,0,0.000000
999,hidden,142,0,0.000000
1018,low,40,0,0.000000
1028,hidden,28,0,0.000000
1031,hidden,26,0,0.000000
1037,passing,115,0,0.000000
1041,passing,252,0,0.000000
1045,hidden,40,0,0.000000
1047,low,181,0,0.000000
1052,passing,727,0,0.000000
1057,(unmatched),4,0,0.000000
1074,(unmatched),295,0,0.000000
1085,passing,175,0,0.000000
1088,killer,76,0,0.000000
1093,hidden,35,0,0.000000
1104,passing,47,0,0.000000
1116,passing,660,0,0.000000
1132,low,8,0,0.000000
1143,hidden,7,0,0.000000
1154,hidden,61,0,0.000000
1240,killer,189,0,0.000000
1294,hidden,7,0,0.000000
1310,low,92,0,0.000000
1366,passing,250,0,0.000000
1374,(unmatched),188,0,0.000000
1378,killer,136,0,0.000000
1390,hidden,18,0,0.000000
1395,hidden,4,0,0.000000
1399,passing,1710,7,0.004094
1401,hidden,63,0,0.000000
1402,low,11,0,0.000000
1422,killer,226,0,0.000000
1425,hidden,18,0,0.000000
1431,passing,497,0,0.000000
1435,passing,1062,4,0.003766
1447,hidden,71,0,0.000000
1449,hidden,56,0,0.000000
1450,low,46,0,0.000000
1458,killer,85,0,0.000000
1463,hidden,14,0,0.000000
1466,passing,200,0,0.000000
1491,passing,2062,12,0.005820
1493,passing,774,0,0.000000
1505,passing,1499,0,0.000000
1507,hidden,113,0,0.000000
1515,passing,57,0,0.000000
1516,low,18,0,0.000000
1525,passing,1800,18,0.010000
1529,killer,164,8,0.048780
1532,(unmatched),417,0,0.000000
1534,passing,347,0,0.000000
1537,hidden,50,0,0.000000
1539,low,11,0,0.000000
1543,low,39,0,0.000000
1552,hidden,131,0,0.000000
1556,passing,743,0,0.000000
1558,(unmatched),123,0,0.000000
1565,hidden,65,0,0.000000
1570,passing,746,0,0.000000
1572,passing,4,0,0.000000
1579,hidden,11,0,0.000000
1582,(unmatched),35,0,0.000000
1586,hidden,18,0,0.000000
1603,killer,391,4,0.010230
1619,hidden,11,0,0.000000
1627,low,25,0,0.000000
1634,low,7,0,0.000000
1639,low,26,0,0.000000
1640,passing,36,0,0.000000
1665,passing,646,0,0.000000
1668,passing,103,0,0.000000
1682,(unmatched),4,0,0.000000
1683,(unmatched),23,0,0.000000
1685,low,4,0,0.000000
1696,passing,8990,7,0.000779
1701,passing,19,0,0.000000
1720,low,18,0,0.000000
1723,low,7,0,0.000000
1740,passing,3056,7,0.002291
1747,passing,237,0,0.000000
1759,passing,1661,0,0.000000
1760,low,7,0,0.000000
1769,passing,601,0,0.000000
1775,passing,1825,0,0.000000
1783,low,26,0,0.000000
1790,passing,170,0,0.000000
1796,passing,1332,4,0.003003
1802,hidden,205,0,0.000000
1813,passing,241,0,0.000000
1820,(unmatched),19,0,0.000000
1822,passing,550,4,0.007273
1836,hidden,7,0,0.000000
1848,passing,156,0,0.000000
1851,(unmatched),59,0,0.000000
1870,passing,131,0,0.000000
1876,low,53,0,0.000000
1900,hidden,4,0,0.000000
1902,passing,145,0,0.000000
1911,(unmatched),25,0,0.000000
1913,killer,4,0,0.000000
1917,passing,597,0,0.000000
1918,low,7,0,0.000000
