blog_code,category,impressions,clicks,ctr
2,travel:killer,2295,0,0.000000
3,travel:hidden,62,0,0.000000
4,travel:passing,64,0,0.000000
14,travel:passing,181,0,0.000000
18,travel:low,8,0,0.000000
44,travel:hidden,11,0,0.000000
70,travel:passing,97,0,0.000000
76,travel:hidden,142,0,0.000000
86,travel:hidden,357,0,0.000000
87,travel:low,22,0,0.000000
125,travel:hidden,212,0,0.000000
138,travel:passing,18,0,0.000000
154,travel:low,30,0,0.000000
157,travel:hidden,18,0,0.000000
158,travel:passing,1311,8,0.006102
164,travel:passing,2168,0,0.000000
183,travel:low,4,0,0.000000
189,travel:low,35,0,0.000000
216,travel:killer,317,0,0.000000
237,travel:hidden,11,0,0.000000
304,travel:passing,90,0,0.000000
316,unmatched:published(non-travel),168,0,0.000000
319,travel:passing,3930,8,0.002036
327,travel:killer,382,4,0.010471
339,travel:hidden,32,0,0.000000
347,travel:passing,2755,0,0.000000
380,unmatched:published(non-travel),11,0,0.000000
385,travel:passing,325,4,0.012308
407,travel:passing,130,0,0.000000
414,travel:passing,4368,0,0.000000
429,unmatched:published(non-travel),550,0,0.000000
437,unmatched:published(non-travel),19,0,0.000000
439,travel:passing,27,0,0.000000
465,travel:killer,569,0,0.000000
470,travel:passing,652,0,0.000000
489,travel:passing,15,0,0.000000
505,travel:passing,30,0,0.000000
507,travel:killer,172,0,0.000000
513,unmatched:published(non-travel),152,0,0.000000
517,travel:passing,146,0,0.000000
532,travel:passing,12,0,0.000000
543,travel:low,11,0,0.000000
545,travel:killer,83,0,0.000000
549,travel:low,4,0,0.000000
662,travel:passing,1147,0,0.000000
665,travel:hidden,29,8,0.275862
675,travel:killer,327,0,0.000000
682,travel:passing,600,0,0.000000
696,unmatched:unpublished(404 likely),267,0,0.000000
703,travel:passing,4327,8,0.001849
707,travel:low,8,0,0.000000
724,travel:passing,1083,0,0.000000
747,travel:low,43,0,0.000000
754,travel:low,53,0,0.000000
756,travel:hidden,160,0,0.000000
762,unmatched:published(non-travel),71,0,0.000000
778,travel:hidden,181,0,0.000000
781,travel:killer,520,0,0.000000
796,unmatched:published(non-travel),8,0,0.000000
798,travel:passing,352,0,0.000000
810,travel:passing,4903,15,0.003059
811,travel:hidden,4,0,0.000000
820,travel:passing,46,0,0.000000
823,travel:low,127,0,0.000000
825,travel:hidden,195,0,0.000000
831,travel:hidden,21,0,0.000000
836,travel:passing,795,8,0.010063
839,travel:passing,261,0,0.000000
852,travel:killer,686,4,0.005831
860,travel:low,111,0,0.000000
867,travel:killer,262,4,0.015267
902,travel:passing,417,0,0.000000
921,travel:low,18,0,0.000000
923,travel:passing,185,0,0.000000
932,travel:low,11,0,0.000000
938,travel:killer,760,4,0.005263
963,travel:passing,1871,0,0.000000
974,travel:low,124,0,0.000000
975,travel:killer,161,0,0.000000
990,travel:killer,182,0,0.000000
993,travel:killer,277,0,0.000000
996,travel:hidden,125,0,0.000000
997,travel:low,4,0,0.000000
999,travel:hidden,142,0,0.000000
1018,travel:low,40,0,0.000000
1028,travel:hidden,28,0,0.000000
1031,travel:hidden,26,0,0.000000
1037,travel:passing,115,0,0.000000
1041,travel:passing,253,0,0.000000
1045,travel:hidden,40,0,0.000000
1047,travel:low,181,0,0.000000
1052,travel:passing,727,0,0.000000
1057,unmatched:published(non-travel),4,0,0.000000
1074,unmatched:published(non-travel),295,0,0.000000
1085,travel:passing,175,0,0.000000
1088,travel:killer,76,0,0.000000
1093,travel:hidden,35,0,0.000000
1104,travel:passing,47,0,0.000000
1116,travel:passing,661,0,0.000000
1132,travel:low,8,0,0.000000
1143,travel:hidden,7,0,0.000000
1154,travel:hidden,61,0,0.000000
1240,travel:killer,189,0,0.000000
1294,travel:hidden,7,0,0.000000
1310,travel:low,93,0,0.000000
1366,travel:passing,251,0,0.000000
1374,unmatched:published(non-travel),188,0,0.000000
1378,travel:killer,136,0,0.000000
1390,travel:hidden,18,0,0.000000
1395,travel:hidden,4,0,0.000000
1399,travel:passing,1715,7,0.004082
1401,travel:hidden,64,0,0.000000
1402,travel:low,11,0,0.000000
1422,travel:killer,227,0,0.000000
1425,travel:hidden,18,0,0.000000
1431,travel:passing,497,0,0.000000
1435,travel:passing,1068,4,0.003745
1447,travel:hidden,72,0,0.000000
1449,travel:hidden,57,0,0.000000
1450,travel:low,46,0,0.000000
1458,travel:killer,85,0,0.000000
1463,travel:hidden,14,0,0.000000
1466,travel:passing,200,0,0.000000
1491,travel:passing,2067,12,0.005806
1493,travel:passing,778,0,0.000000
1505,travel:passing,1516,0,0.000000
1507,travel:hidden,113,0,0.000000
1515,travel:passing,57,0,0.000000
1516,travel:low,18,0,0.000000
1525,travel:passing,1807,18,0.009961
1529,travel:killer,164,8,0.048780
1532,unmatched:published(non-travel),417,0,0.000000
1534,travel:passing,348,0,0.000000
1537,travel:hidden,50,0,0.000000
1539,travel:low,11,0,0.000000
1543,travel:low,39,0,0.000000
1552,travel:hidden,131,0,0.000000
1556,travel:passing,744,0,0.000000
1558,unmatched:published(non-travel),124,0,0.000000
1565,travel:hidden,65,0,0.000000
1570,travel:passing,750,0,0.000000
1572,travel:passing,4,0,0.000000
1579,travel:hidden,11,0,0.000000
1582,unmatched:published(non-travel),35,0,0.000000
1586,travel:hidden,18,0,0.000000
1603,travel:killer,399,4,0.010025
1619,travel:hidden,11,0,0.000000
1627,travel:low,25,0,0.000000
1634,travel:low,7,0,0.000000
1639,travel:low,26,0,0.000000
1640,travel:passing,36,0,0.000000
1665,travel:passing,647,0,0.000000
1668,travel:passing,103,0,0.000000
1682,unmatched:unpublished(404 likely),4,0,0.000000
1683,unmatched:published(non-travel),23,0,0.000000
1685,travel:low,4,0,0.000000
1696,travel:passing,8994,7,0.000778
1701,travel:passing,19,0,0.000000
1720,travel:low,18,0,0.000000
1723,travel:low,7,0,0.000000
1740,travel:passing,3076,7,0.002276
1747,travel:passing,237,0,0.000000
1759,travel:passing,1672,0,0.000000
1760,travel:low,7,0,0.000000
1769,travel:passing,601,0,0.000000
1775,travel:passing,1838,0,0.000000
1783,travel:low,26,0,0.000000
1790,travel:passing,170,0,0.000000
1796,travel:passing,1332,4,0.003003
1802,travel:hidden,205,0,0.000000
1813,travel:passing,241,0,0.000000
1820,unmatched:published(non-travel),19,0,0.000000
1822,travel:passing,551,4,0.007260
1836,travel:hidden,7,0,0.000000
1848,travel:passing,156,0,0.000000
1851,unmatched:published(non-travel),59,0,0.000000
1870,travel:passing,131,0,0.000000
1876,travel:low,53,0,0.000000
1900,travel:hidden,4,0,0.000000
1902,travel:passing,145,0,0.000000
1911,unmatched:published(non-travel),25,0,0.000000
1913,travel:killer,4,0,0.000000
1917,travel:passing,597,0,0.000000
1918,travel:low,7,0,0.000000
1925,travel:passing,908,4,0.004405
1940,travel:passing,518,0,0.000000
1944,travel:hidden,26,0,0.000000
1946,travel:passing,114,0,0.000000
1951,travel:passing,817,0,0.000000
1952,travel:passing,687,0,0.000000
1962,travel:passing,251,0,0.000000
1970,unmatched:published(non-travel),18,0,0.000000
1972,unmatched:published(non-travel),21,0,0.000000
1973,travel:hidden,4,0,0.000000
1983,travel:hidden,7,0,0.000000
1984,travel:low,86,0,0.000000
1988,travel:low,4,0,0.000000
1993,travel:low,93,0,0.000000
2001,unmatched:published(non-travel),4,0,0.000000
2002,travel:passing,1429,0,0.000000
2014,travel:hidden,33,0,0.000000
2020,travel:low,120,0,0.000000
2021,unmatched:published(non-travel),4,0,0.000000
2030,travel:passing,2163,0,0.000000
2032,travel:hidden,4,0,0.000000
2041,travel:passing,686,8,0.011662
2043,travel:passing,1331,0,0.000000
2044,travel:low,50,0,0.000000
2049,unmatched:published(non-travel),75,0,0.000000
2052,travel:passing,118,0,0.000000
2059,travel:hidden,4,0,0.000000
2071,travel:low,88,0,0.000000
2075,unmatched:published(non-travel),131,0,0.000000
2077,travel:passing,1062,0,0.000000
2082,travel:hidden,7,0,0.000000
2091,travel:passing,93,0,0.000000
2103,travel:passing,239,0,0.000000
2110,unmatched:published(non-travel),18,0,0.000000
2120,unmatched:published(non-travel),40,0,0.000000
2132,travel:hidden,46,0,0.000000
2133,travel:low,8,0,0.000000
2145,travel:hidden,29,0,0.000000
2163,unmatched:published(non-travel),11,0,0.000000
2166,travel:passing,881,0,0.000000
2175,travel:killer,95,0,0.000000
2177,unmatched:published(non-travel),22,0,0.000000
2178,travel:hidden,4,0,0.000000
2186,travel:hidden,71,0,0.000000
2207,travel:low,42,0,0.000000
2211,travel:passing,87,0,0.000000
2225,travel:hidden,96,0,0.000000
2230,travel:hidden,87,0,0.000000
2231,travel:passing,18,0,0.000000
2234,travel:low,47,0,0.000000
2237,travel:low,199,0,0.000000
2238,travel:low,21,0,0.000000
2245,travel:passing,215,0,0.000000
2257,travel:low,65,0,0.000000
2263,travel:hidden,4,0,0.000000
2268,travel:passing,4,0,0.000000
2275,travel:hidden,4,0,0.000000
2276,travel:low,166,0,0.000000
2291,travel:hidden,4,0,0.000000
2293,travel:low,22,0,0.000000
2294,unmatched:published(non-travel),71,0,0.000000
2302,travel:passing,177,0,0.000000
2304,travel:low,212,0,0.000000
2309,travel:passing,441,0,0.000000
2318,travel:hidden,4,0,0.000000
2319,travel:passing,292,0,0.000000
2323,travel:low,18,0,0.000000
2328,travel:passing,44,0,0.000000
2333,travel:passing,208,8,0.038462
2348,travel:hidden,60,0,0.000000
2351,travel:passing,1986,4,0.002014
2353,unmatched:published(non-travel),418,19,0.045455
2354,travel:hidden,11,0,0.000000
2360,travel:passing,246,0,0.000000
2361,travel:hidden,49,0,0.000000
2370,travel:hidden,44,0,0.000000
2371,travel:low,47,0,0.000000
2377,unmatched:published(non-travel),11,0,0.000000
2380,unmatched:published(non-travel),11,0,0.000000
2381,travel:hidden,74,0,0.000000
2384,travel:passing,556,4,0.007194
2393,travel:passing,106,0,0.000000
2398,travel:passing,468,0,0.000000
2404,travel:passing,19,0,0.000000
2412,travel:passing,908,0,0.000000
2418,travel:killer,440,0,0.000000
2419,travel:hidden,18,0,0.000000
2428,unmatched:published(non-travel),25,0,0.000000
2429,travel:hidden,96,0,0.000000
2440,travel:hidden,18,0,0.000000
2445,travel:passing,379,0,0.000000
2446,travel:passing,178,0,0.000000
2452,travel:low,202,0,0.000000
2455,travel:hidden,132,0,0.000000
2462,travel:passing,159,0,0.000000
2463,travel:hidden,11,0,0.000000
2464,travel:killer,55,0,0.000000
2468,travel:passing,82,0,0.000000
2476,travel:passing,152,0,0.000000
2477,travel:hidden,7,0,0.000000
2487,travel:passing,1966,0,0.000000
2492,travel:passing,142,0,0.000000
2505,unmatched:published(non-travel),239,0,0.000000
2513,travel:low,39,0,0.000000
2514,travel:passing,498,0,0.000000
2521,travel:killer,8,0,0.000000
2527,travel:passing,1213,4,0.003298
2528,travel:killer,493,0,0.000000
2532,travel:killer,171,0,0.000000
2544,travel:passing,98,0,0.000000
2551,travel:passing,472,4,0.008475
2552,travel:hidden,55,0,0.000000
2559,travel:passing,14,0,0.000000
2561,travel:passing,1370,0,0.000000
2562,travel:passing,193,0,0.000000
2563,travel:killer,460,0,0.000000
2568,travel:killer,785,0,0.000000
2570,unmatched:published(non-travel),7,0,0.000000
2583,travel:killer,24,0,0.000000
2587,travel:passing,88,0,0.000000
2596,unmatched:published(non-travel),47,0,0.000000
2599,travel:low,4,0,0.000000
2600,travel:passing,483,0,0.000000
2602,travel:passing,389,0,0.000000
2607,travel:passing,578,0,0.000000
2609,travel:hidden,7,0,0.000000
2610,unmatched:published(non-travel),12,0,0.000000
2612,travel:killer,201,0,0.000000
2622,unmatched:published(non-travel),22,0,0.000000
2626,travel:killer,15,0,0.000000
2627,travel:killer,556,0,0.000000
2654,unmatched:published(non-travel),84,0,0.000000
2655,travel:killer,50,0,0.000000
2657,travel:passing,524,4,0.007634
2663,unmatched:published(non-travel),294,0,0.000000
2664,unmatched:published(non-travel),14,0,0.000000
2669,travel:killer,22,0,0.000000
2675,unmatched:published(non-travel),11,0,0.000000
2684,travel:killer,61,0,0.000000
2688,unmatched:published(non-travel),309,0,0.000000
2690,unmatched:published(non-travel),196,0,0.000000
2692,travel:passing,390,4,0.010256
2695,travel:passing,294,0,0.000000
2746,travel:killer,94,0,0.000000
2784,travel:passing,54,0,0.000000
2799,travel:passing,162,0,0.000000
2801,travel:killer,229,0,0.000000
2809,unmatched:published(non-travel),120,0,0.000000
2829,travel:passing,293,0,0.000000
2834,travel:hidden,11,0,0.000000
2836,unmatched:published(non-travel),77,0,0.000000
2846,travel:hidden,72,0,0.000000
2847,travel:passing,1799,12,0.006670
2849,travel:passing,950,0,0.000000
2851,unmatched:published(non-travel),11,0,0.000000
2872,travel:killer,139,0,0.000000
2875,travel:killer,12,0,0.000000
2884,unmatched:published(non-travel),371,0,0.000000
2885,travel:low,25,0,0.000000
2886,travel:killer,4,0,0.000000
2887,travel:low,18,0,0.000000
2901,travel:passing,1474,57,0.038670
2914,travel:passing,307,0,0.000000
2915,travel:passing,21,0,0.000000
2945,travel:killer,146,0,0.000000
2951,unmatched:published(non-travel),22,0,0.000000
2952,travel:hidden,99,0,0.000000
2961,travel:hidden,35,0,0.000000
2963,unmatched:published(non-travel),303,0,0.000000
2964,unmatched:published(non-travel),14,0,0.000000
2969,travel:killer,166,0,0.000000
2985,travel:killer,40,0,0.000000
2995,travel:killer,154,0,0.000000
3001,travel:passing,2793,12,0.004296
3003,unmatched:published(non-travel),105,0,0.000000
3048,travel:passing,461,0,0.000000
3059,travel:passing,1174,0,0.000000
3063,travel:hidden,25,0,0.000000
3094,travel:killer,169,0,0.000000
3098,unmatched:published(non-travel),380,0,0.000000
3106,travel:killer,1831,0,0.000000
3116,travel:hidden,131,0,0.000000
3117,travel:passing,56,0,0.000000
3119,unmatched:published(non-travel),74,0,0.000000
3161,unmatched:published(non-travel),4,0,0.000000
3165,travel:passing,4176,0,0.000000
3173,travel:killer,654,0,0.000000
3174,unmatched:published(non-travel),218,0,0.000000
3183,travel:passing,37,0,0.000000
3196,travel:passing,530,0,0.000000
3308,travel:hidden,18,0,0.000000
3310,travel:passing,998,0,0.000000
3316,travel:hidden,21,0,0.000000
3369,travel:hidden,46,0,0.000000
3401,travel:killer,887,0,0.000000
3406,travel:killer,51,0,0.000000
3411,travel:hidden,8,0,0.000000
3452,travel:passing,920,4,0.004348
3462,travel:killer,49,0,0.000000
3467,travel:hidden,4,0,0.000000
3490,travel:killer,150,4,0.026667
3502,travel:passing,464,0,0.000000
3540,travel:hidden,29,0,0.000000
3561,travel:killer,527,4,0.007590
3562,travel:hidden,15,0,0.000000
3582,travel:hidden,4,0,0.000000
3591,travel:killer,427,4,0.009368
3592,travel:killer,310,0,0.000000
3600,travel:hidden,258,0,0.000000
3601,travel:hidden,39,7,0.179487
3604,unmatched:published(non-travel),7,0,0.000000
3613,travel:passing,1632,4,0.002451
3625,travel:passing,2539,0,0.000000
3626,travel:killer,196,0,0.000000
3637,unmatched:published(non-travel),4,0,0.000000
3643,travel:passing,242,0,0.000000
3676,unmatched:published(non-travel),32,4,0.125000
3686,travel:killer,22,0,0.000000
3709,travel:passing,446,0,0.000000
3719,travel:hidden,4,0,0.000000
3721,travel:hidden,53,0,0.000000
3725,travel:passing,198,0,0.000000
3759,travel:killer,510,4,0.007843
3764,travel:hidden,103,0,0.000000
3768,travel:passing,606,0,0.000000
3774,travel:hidden,22,0,0.000000
3778,travel:killer,34,0,0.000000
3781,travel:killer,671,11,0.016393
3782,travel:passing,177,0,0.000000
3807,travel:hidden,21,0,0.000000
3818,travel:low,71,0,0.000000
3821,unmatched:published(non-travel),29,0,0.000000
3829,travel:killer,450,0,0.000000
3832,travel:passing,696,0,0.000000
3848,unmatched:published(non-travel),21,0,0.000000
3849,travel:killer,95,0,0.000000
3851,travel:hidden,148,0,0.000000
3899,unmatched:published(non-travel),335,0,0.000000
3904,travel:passing,595,0,0.000000
3908,unmatched:published(non-travel),154,0,0.000000
3909,travel:hidden,86,0,0.000000
3938,travel:low,205,0,0.000000
3951,travel:killer,625,0,0.000000
3960,travel:low,35,0,0.000000
3966,unmatched:published(non-travel),21,0,0.000000
4001,travel:killer,297,0,0.000000
4005,travel:hidden,47,0,0.000000
4024,unmatched:published(non-travel),89,0,0.000000
4027,travel:killer,670,0,0.000000
4030,travel:killer,15,0,0.000000
4047,unmatched:published(non-travel),16,0,0.000000
4101,travel:hidden,25,0,0.000000
4124,travel:killer,47,0,0.000000
4126,travel:passing,217,0,0.000000
4145,travel:killer,218,0,0.000000
4155,travel:killer,78,0,0.000000
4156,travel:hidden,219,0,0.000000
4174,travel:passing,41,0,0.000000
4198,travel:low,4,0,0.000000
4199,travel:passing,857,4,0.004667
4202,travel:low,4,0,0.000000
4211,unmatched:published(non-travel),61,0,0.000000
4217,travel:killer,118,0,0.000000
4218,travel:low,48,0,0.000000
4221,travel:low,11,0,0.000000
4223,travel:low,57,0,0.000000
4232,travel:passing,564,11,0.019504
4233,travel:passing,72,0,0.000000
4238,travel:passing,151,0,0.000000
4239,unmatched:published(non-travel),160,0,0.000000
4245,travel:low,28,0,0.000000
4248,travel:passing,64,0,0.000000
4249,unmatched:published(non-travel),322,0,0.000000
4251,travel:passing,281,0,0.000000
4256,travel:passing,109,0,0.000000
4258,unmatched:published(non-travel),85,0,0.000000
4259,travel:low,11,0,0.000000
4264,travel:passing,246,0,0.000000
4265,travel:killer,174,0,0.000000
4267,travel:low,146,0,0.000000
4269,travel:low,152,0,0.000000
4271,travel:low,4,0,0.000000
4274,travel:low,69,0,0.000000
4275,travel:passing,35,0,0.000000
4278,travel:passing,183,0,0.000000
4283,travel:passing,51,0,0.000000
4288,unmatched:published(non-travel),33,0,0.000000
4290,travel:passing,934,22,0.023555
4295,unmatched:published(non-travel),347,0,0.000000
4300,unmatched:published(non-travel),22,0,0.000000
4302,travel:passing,58,0,0.000000
4304,travel:passing,55,0,0.000000
4305,travel:low,21,0,0.000000
4308,travel:passing,136,0,0.000000
4310,travel:passing,187,0,0.000000
4312,unmatched:published(non-travel),4,0,0.000000
4313,travel:hidden,7,0,0.000000
4316,travel:low,61,0,0.000000
4317,travel:hidden,11,0,0.000000
4318,travel:passing,693,4,0.005772
4319,travel:hidden,11,0,0.000000
4324,travel:low,46,0,0.000000
4325,travel:low,82,0,0.000000
4328,travel:hidden,129,0,0.000000
4345,travel:low,26,0,0.000000
4346,travel:passing,147,0,0.000000
4347,travel:passing,45,0,0.000000
4348,travel:low,100,0,0.000000
4350,travel:low,40,4,0.100000
4351,travel:passing,1422,0,0.000000
4352,travel:hidden,159,0,0.000000
4353,travel:low,7,0,0.000000
4356,travel:hidden,75,0,0.000000
4357,travel:low,28,0,0.000000
4358,travel:hidden,22,0,0.000000
4362,travel:low,4,0,0.000000
4368,unmatched:published(non-travel),7,0,0.000000
4369,travel:low,21,0,0.000000
4370,travel:killer,11,0,0.000000
4374,travel:low,11,0,0.000000
4377,travel:low,47,0,0.000000
4378,travel:hidden,4,0,0.000000
4381,travel:hidden,46,0,0.000000
4382,travel:passing,77,0,0.000000
4383,travel:low,143,0,0.000000
4386,travel:low,7,0,0.000000
4391,travel:passing,217,0,0.000000
4395,travel:passing,91,0,0.000000
4396,travel:passing,422,0,0.000000
4402,travel:passing,133,0,0.000000
4405,travel:hidden,12,0,0.000000
4410,travel:low,7,0,0.000000
4411,travel:low,11,0,0.000000
4414,travel:killer,85,0,0.000000
4415,travel:passing,50,0,0.000000
4419,travel:passing,167,0,0.000000
4423,travel:low,4,0,0.000000
4424,travel:killer,33,0,0.000000
4425,travel:hidden,86,0,0.000000
4427,travel:low,32,0,0.000000
4428,unmatched:unpublished(404 likely),142,7,0.049296
4429,unmatched:published(non-travel),1362,4,0.002937
4431,travel:hidden,11,0,0.000000
4432,travel:low,122,0,0.000000
4433,travel:low,11,0,0.000000
4434,travel:hidden,7,0,0.000000
4436,travel:low,8,0,0.000000
4437,travel:passing,583,0,0.000000
4444,travel:passing,847,0,0.000000
4445,travel:passing,129,0,0.000000
4451,travel:low,43,0,0.000000
4452,travel:passing,21,0,0.000000
4453,travel:low,33,0,0.000000
4457,travel:passing,834,8,0.009592
4460,travel:passing,199,0,0.000000
4463,travel:low,160,0,0.000000
4467,travel:hidden,46,0,0.000000
4468,travel:passing,1995,11,0.005514
4474,unmatched:published(non-travel),18,0,0.000000
4477,unmatched:published(non-travel),1362,4,0.002937
4478,travel:passing,4,0,0.000000
4480,travel:passing,759,18,0.023715
4481,travel:passing,412,0,0.000000
4492,travel:low,4,0,0.000000
4499,travel:low,32,0,0.000000
4501,unmatched:published(non-travel),114,0,0.000000
4503,travel:killer,220,0,0.000000
4506,travel:passing,213,4,0.018779
4508,unmatched:published(non-travel),178,0,0.000000
4510,travel:passing,186,0,0.000000
4511,travel:passing,400,4,0.010000
4513,travel:low,12,0,0.000000
4514,travel:passing,313,0,0.000000
4515,travel:passing,179,4,0.022346
4516,unmatched:published(non-travel),15,0,0.000000
4519,travel:low,4,0,0.000000
4524,travel:passing,53,0,0.000000
4527,travel:passing,274,0,0.000000
4530,travel:low,11,0,0.000000
4533,travel:passing,363,0,0.000000
4537,travel:passing,29,0,0.000000
4539,travel:hidden,7,0,0.000000
4541,travel:low,8,0,0.000000
4545,travel:low,4,0,0.000000
4546,unmatched:published(non-travel),509,0,0.000000
4547,travel:low,28,0,0.000000
4548,travel:passing,59,0,0.000000
4549,travel:low,39,0,0.000000
4550,travel:killer,132,0,0.000000
4551,travel:passing,31,0,0.000000
4552,travel:passing,167,0,0.000000
4558,travel:passing,2734,0,0.000000
4559,travel:killer,67,0,0.000000
4560,travel:killer,138,0,0.000000
4561,travel:killer,72,0,0.000000
4562,unmatched:published(non-travel),112,0,0.000000
4566,travel:low,100,0,0.000000
4568,travel:passing,4,0,0.000000
4569,travel:killer,256,0,0.000000
4570,travel:passing,1598,0,0.000000
4571,travel:low,8,0,0.000000
4572,travel:passing,1964,4,0.002037
4575,travel:killer,22,0,0.000000
4576,travel:passing,268,0,0.000000
4577,travel:passing,154,0,0.000000
4579,travel:low,8,0,0.000000
4580,travel:low,11,0,0.000000
4581,travel:hidden,11,0,0.000000
4584,travel:low,48,0,0.000000
4587,travel:low,30,0,0.000000
4588,travel:hidden,18,0,0.000000
4589,travel:passing,811,0,0.000000
4591,unmatched:published(non-travel),8,0,0.000000
4592,travel:low,4,0,0.000000
4593,travel:low,20,0,0.000000
4594,travel:killer,138,0,0.000000
4595,travel:passing,4,0,0.000000
4602,unmatched:published(non-travel),4,0,0.000000
4603,travel:passing,337,0,0.000000
4606,travel:killer,92,0,0.000000
4610,travel:low,156,4,0.025641
4611,travel:low,26,0,0.000000
4613,travel:hidden,54,0,0.000000
4614,travel:killer,51,0,0.000000
4616,travel:passing,675,0,0.000000
4620,unmatched:published(non-travel),705,4,0.005674
4621,travel:low,46,0,0.000000
4626,travel:hidden,4,0,0.000000
4629,travel:passing,59,0,0.000000
4631,travel:low,15,0,0.000000
4635,travel:passing,129,0,0.000000
4639,unmatched:published(non-travel),27,0,0.000000
