group,code,imp,clk,ctr,spots,view_count,like_count,title
HIGH,5372,101,8,0.079208,1,9566,68,서울 야경 레스토랑  |  아이오유
HIGH,5005,107,7,0.065421,1,11262,23,결혼웨딩사진｜타임온미스튜디오(Time on me Studio)
HIGH,6995,151,8,0.052980,0,364,8,Food Delivery In Korea | Guide To Ordering Food In Korea
HIGH,1529,164,8,0.048780,1,182463,2022,궁가는여우｜경복궁 한복
HIGH,2353,418,19,0.045455,0,131564,126,어학당 총정리
HIGH,2901,1474,57,0.038670,0,108814,567,【韓國外送】2018年韓國必吃外送食物TOP5！배달주문어플(YOGIYO)로 핸드폰을 통해 배달음식을 주문하기+한국어 표현 방법 수록！
HIGH,2333,208,8,0.038462,0,27052,153,【首爾地鐵一號線】 搭乘地鐵征服首爾吧！搭上地鐵一號線來一趟首爾之旅！- 1탄
HIGH,5233,106,4,0.037736,0,19474,380,弘大「三層肉的神」探訪
HIGH,6733,482,18,0.037344,0,29195,22,Top 5 Shopping Apps in Korea 
HIGH,6065,131,4,0.030534,3,4174,94,[트립이지] 짐배송 서비스
HIGH,5110,136,4,0.029412,0,22952,18,한국 여행 비용 총 정리
HIGH,4825,139,4,0.028777,1,3278,15,부산 해운대｜초코비지네일
HIGH,5549,2991,86,0.028753,0,22767,222,手機查詢T-Money餘額教學
HIGH,3490,150,4,0.026667,1,68244,556,獨自一人去韓國旅遊的好處
HIGH,6481,155,4,0.025806,0,4058,3,韓國情人節整理
HIGH,4610,156,4,0.025641,1,5199,77,창경궁
HIGH,5671,162,4,0.024691,1,8041,49,감천문화마을｜감천문화역
HIGH,4480,759,18,0.023715,11,355235,1319,교촌치킨 배달 시작!
HIGH,4290,934,22,0.023555,5,44629,444,예스한복｜景福宮韓服
HIGH,4515,179,4,0.022346,6,20378,217,[하나투어ITC] 롯데월드 1일 자유이용권
HIGH,4819,195,4,0.020513,1,11774,116,부산서면카페｜빈티지38
HIGH,5120,391,8,0.020460,1,8666,57,한국 반영구 눈썹 시술 (리안메디센터(구줄리엣뷰티))
HIGH,4232,564,11,0.019504,1,77977,499,서울잠실프로듀스101교복대여＿이화교복(ehwa)
HIGH,4506,213,4,0.018779,0,264075,131,서울 숙박 총정리
HIGH,4774,231,4,0.017316,1,25574,255,홍대동물카페｜미어캣 프렌즈
HIGH,3781,671,11,0.016393,3,117333,1500,경복궁한복 | 해와달한복 한복대여+메이크업
